category,rate,name,address,url,price_range
"Men's Clothing,Women's Clothing,Children's Clothing",3.5 star rating,zara - men,,,$$
"Shoe Stores,Accessories",4.5 star rating,fashion shoes,,,$$$
"General Dentistry,Cosmetic Dentists",5.0 star rating,coral dental,,,
"Rolfing,Massage Therapy",5.0 star rating,colorado spine,,,$$
Yoga,5.0 star rating,dragonfly,,,
"Tea Rooms,Coffee & Tea,Cafes",4.0 star rating,tea ,,,$
Banks & Credit Unions,,bank of marin,,,
"Sports Bars,American (Traditional),Breweries",3.5 star rating,jacks brewing company,,,$$
"Bakeries,Desserts",4.0 star rating,chipcookie,,,$
Ice Cream & Frozen Yogurt,3.0 star rating,dreyers ice cream,,,$$
Jewelry,,lafemme,,,
"American (Traditional),Burgers,Sandwiches",4.0 star rating,burger grill,,,$
"Music & DVDs,Bookstores",4.5 star rating,p h lee jewelers,,,$
Radio Stations,5.0 star rating,mr news,,,
"Burgers,Fast Food",4.0 star rating,dodgers dogs,,,$
"Local Flavor,Mass Media",2.5 star rating,supplementing com,,,
"Gyms,Sports Clubs,Soccer",3.5 star rating,americas sports one,,,
Festivals,4.0 star rating,red zone,,,
Martial Arts,5.0 star rating,do martial arts,,,
"Sandwiches,Fast Food",3.5 star rating,subway,,,$
Video/Film Production,,teal,,,
Parking,3.5 star rating,dannys carousel car wash,,,
Dance Studios,4.5 star rating,dance by design,,,
"Museums,Venues & Event Spaces,Tours",4.5 star rating,ss; cafeteria,,,
"Nail Salons,Hair Removal",3.5 star rating,zunis salon,,,$$
Sandwiches,4.5 star rating,worth it,,,$
,,wentworth gallery,,,
"Electronics,Car Stereo Installation",4.5 star rating,mobile 1,,,$$
"Web Design,Graphic Design",5.0 star rating,e graphix,,,
"Event Photography,Session Photography",5.0 star rating,matinas bridal,,,
Hair Salons,4.5 star rating,taras salon,,,$$
"Burgers,American (New),Gastropubs",4.0 star rating,big orange,,,$$
"Coffee & Tea,Bagels",3.5 star rating,p j coffee,,,$
Chinese,3.0 star rating,hibachi buffet,,,$$
Mattresses,4.5 star rating,bed boss,,,$$
Swimming Pools,3.5 star rating,buckeye room,,,
