mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
1083,Galleria At Crystal Run,Orange County,new york,36071,41.40241,-74.306252,372813,137025,2102256780,69822194,811.686,26.959,2.2,38.2,34.8,36.6,11,0.5,2.4,10.2,72.6,50,50,27.4,91.9,6.6,77.2,7.4,"men's gifts:1,shoes:2,children's footwear:1,women's clothing:3,children's apparel:1,sporting goods:1,clothing:16,maternity clothing:1,department store:1,jewelry:4,headwear:1,personalized gifts:1,girl's clothing:1,men's clothing:1,telecommunication:1,plus size clothing:1,beauty products:1,children's clothing:1,diamonds:1,sports clothing:1,stuffed animals:1,restaurant:3,candles:1,video games:1,nutritional supplements:2,footwear:2"
1084,Valley Hills Mall,Catawba County,north carolina,37035,35.663182,-81.214151,154358,67886,1032683744,38057078,398.721,14.694,2.6,40.6,38.5,39.6,14.1,0.3,3.5,8.4,68.7,51,49,31.3,89.7,4.1,81.7,11.2,"consumer electronics:1, clothing:1,jewelry:4,restaurant:5,women's clothing:3,plus size clothing:1, beauty products:1,children's apparel:1,home furnishings:1,nutritional supplements:2,footwear:1,hair care:1,girl's clothing:1,children's clothing:1,perfume:1,clothing:10,maternity clothing:1,telecommunication:2"
1085,Main Gate Square,Pima County,arizona,4019,32.128237,-111.783018,980263,440909,23794311939,5337525,9187.036,2.061,2.9,39.1,36.2,37.7,15.4,3.3,2.6,3.5,62.6,50.9,49.1,37.4,88.1,12.3,74.3,11.2,"department store:1,coffee:1,clothing:1,restaurant:2"
1086,Green Valley Village,Santa Cruz County,arizona,4023,31.525904,-110.84519,47420,18010,3203598541,3088171,1236.916,1.192,3.5,37.1,33.6,35.6,13.1,0.7,0.5,0.4,77.7,52.4,47.6,22.3,85.7,22.9,73.5,11.5,
1087,Donaldson's Crossroads,Allegheny County,pennsylvania,42003,40.46892,-79.98092,1223348,589201,1890884266,37418903,730.075,14.448,2.1,43.3,39.3,41.3,16.8,0.1,2.8,13.2,57.7,52.1,47.9,42.3,90.6,0.5,81.5,8.9,"nutritional supplements:1,restaurant:1"
1088,Northgate Mall,Hamilton County,tennessee,47065,35.159186,-85.202296,336463,151107,1404890184,86631783,542.431,33.449,3.1,40.7,37.7,39.3,14.7,0.3,1.8,20.2,64.5,51.9,48.1,35.5,90.5,2,73.9,9.7,"men's clothing:1,nutritional supplements:2,cookies:1,jewelry:1,restaurant:4,girl's clothing:1, beauty products:1,photography:1,video games:1,women's clothing:1,eyewear:2,children's apparel:1,skincare:1,beauty products:1,headwear:1,footwear:2,sporting goods:1,diamonds:1,children's clothing:1,clothing:10, clothing:1"
1089,Westfield Downtown Plaza Shopping Centre,Sacramento County,california,6067,38.450011,-121.340441,1418788,555932,2498415670,76077248,964.644,29.374,2.5,36.1,33.5,34.8,11.2,1,14.3,10.4,66,51,49,34,92.4,9.3,57.5,8.3,"men's gifts:1,headwear:1,women's clothing:1,children's apparel:1,beauty products:1,hair care:1,clothing:5,restaurant:4,eyewear:2,nutritional supplements:1,women's jewelry:2, clothing:1,footwear:1"
1090,Del Monte Center,Santa Cruz County,california,6087,37.012488,-122.007205,262382,104476,1152986019,419568865,445.17,161.996,1.6,38.1,35.6,36.9,11.1,0.9,4.2,1.1,61.2,50.1,49.9,38.8,90.3,16.5,72.5,3.5,"men's clothing:1,consumer electronics:1,coffee:1,sports clothing:1,telecommunication:1,restaurant:3,women's clothing:4,denim:1,chocolates:1, beauty products:1,eyewear:2,children's apparel:1,nutritional supplements:1,beauty products:2,diamonds:1,sports apparel:1,clothing:7, clothing:1,ice cream:1,furniture:2"
1091,Tulsa Promenade,Tulsa County,oklahoma,40143,36.12012,-95.941731,603403,268426,1476931275,43438532,570.246,16.772,2.4,36.5,33.8,35.2,12.1,6,2.3,10.7,63.7,51.2,48.8,36.3,90.1,5.8,69.2,11,"cookies:1,video games:1,cellular accessories:1,telecommunication:1,women's jewelry:1,headwear:1,personalized gifts:1,plus size clothing:1,women's clothing:1,eyewear:2, clothing:1,nutritional supplements:1,jewelry:3,beauty products:1,footwear:1,sporting goods:1,girl's clothing:1,restaurant:2,clothing:10,maternity clothing:1,women's shoes:1"
1092,Woodbury Lakes,Washington County,minnesota,27163,45.037929,-92.890117,238136,92374,995285532,99618899,384.282,38.463,1.4,39.2,37.2,38.3,10.5,0.5,5.1,3.6,73.3,50.5,49.5,26.7,95.1,1,87.8,6.8,"men's clothing:2,telecommunication:1,women's clothing:6,home furnishings:1,sports apparel:1,children's clothing:1,clothing:9,women's shoes:1,jewelry:1,shoes:1,eyewear:1,girl's clothing:1, clothing:1"
1093,Harborplace & The Gallery,Baltimore city,maryland,24510,39.300213,-76.610516,620961,296685,209643241,28768302,80.944,11.108,4.2,35.7,33.1,34.4,11.7,0.4,2.3,63.7,53.6,52.9,47.1,46.4,84.2,1.8,29.6,10.7,"coffee:1,shoes:1,women's clothing:5,beauty products:2,children's clothing:1,clothing:6,telecommunication:1,fasion wholesale:1,jewelry:1,restaurant:3,chocolates:1,eyewear:1,footwear:1,women's handbags:1,women's shoes:1"
1094,Montgomery Mall,Montgomery County,pennsylvania,42091,40.209999,-75.370201,799874,325735,1251067046,10761519,483.04,4.155,1.3,42,39.2,40.6,15.1,0.1,6.4,8.7,67.9,51.5,48.5,32.1,94.5,1.6,81.1,9.3,"shoes:1,headwear:1,women's clothing:4,children's apparel:3,hair care:1,clothing:14,guest services:1,jewelry:6,eyewear:3,personalized gifts:1,girl's clothing:1, clothing:1,women's jewelry:1,coffee:1,telecommunication:2,photography:2,plus size clothing:1,sports apparel:1,beauty products:2,children's clothing:1,sporting goods:1,consumer electronics:1,sports clothing:1,restaurant:4,candles:1,nutritional supplements:1,footwear:3"
1095,Nittany Mall,Centre County,pennsylvania,42027,40.90916,-77.84783,153990,63297,2874682925,7878533,1109.921,3.042,1.6,30.2,27.6,28.7,11.3,0.1,5.2,3,54.3,48.2,51.8,45.7,91,0.7,89.4,2.3,"shoes:1,women's clothing:3,children's apparel:1,sports apparel:1,beauty products:1,clothing:13,consumer electronics:2,jewelry:3,restaurant:2,video games:1, beauty products:1,eyewear:1,nutritional supplements:1,personalized gifts:1,women's jewelry:1"
1096,Merced Mall,Merced County,california,6047,37.194806,-120.722802,255793,83698,5011554741,112760487,1934.972,43.537,3.2,30.5,28.7,29.6,9.4,1.4,7.4,3.9,77.7,49.7,50.3,22.3,90.4,24.5,58,8.1,"department store:1,plus size clothing:1,sports clothing:1,telecommunication:1,restaurant:3,photography:1,chocolates:1,women's clothing:2,eyewear:1,nutritional supplements:2,beauty products:1,footwear:2,hair care:1,children's clothing:1,clothing:4, clothing:1,women's jewelry:1"
1097,Sherwood Mall,San Joaquin County,california,6077,37.935034,-121.272237,685306,233755,3603505998,91108644,1391.322,35.177,2.8,34,31.5,32.7,10.4,1.1,14.4,7.6,74.9,50.2,49.8,25.1,92,19.1,51,8.1,"children's footwear:1,consumer electronics:1,coffee:1,sports clothing:1,telecommunication:1,restaurant:2,plus size clothing:1,women's clothing:1,eyewear:1,nutritional supplements:1,beauty products:1,women's jewelry:1,sports apparel:1,clothing:4, clothing:1,footwear:1"
1098,Japan Center,Marin County,california,6041,38.051817,-122.745974,252409,111214,1347585521,797420433,520.306,307.886,1.3,46,43,44.5,16.7,0.6,5.5,2.8,60.7,50.8,49.2,39.3,92.8,6.7,80,5.2,"department store:1,clothing:1"
1099,Grand Teton Mall,Bonneville County,idaho,16019,43.395171,-111.621878,104234,39731,4833116989,89506629,1866.077,34.559,2.6,32.4,31,31.7,10.9,0.8,0.8,0.6,73.1,50.1,49.9,26.9,92.2,5.1,90.6,9.4,"photography:1,women's clothing:4,children's apparel:1,beauty products:1,clothing:9,maternity clothing:1,sports clothing:1,jewelry:1,restaurant:2, beauty products:1,women's jewelry:1, clothing:1"
1100,Colorado Mills,Jefferson County,colorado,8059,39.58646,-105.245601,534543,229967,1979289991,25446228,764.208,9.825,1.5,41.8,39,40.4,12.6,0.9,2.6,1.1,65.4,50.4,49.6,34.6,94.9,4.2,88.4,6.4,"shoes:1,headwear:1,women's clothing:3,children's apparel:1,skincare:1,hair care:1,clothing:9,jewelry:2,eyewear:2,mattress:1,women's jewelry:1,girl's clothing:1, clothing:1,coffee:1,telecommunication:2,beauty products:1,consumer electronics:2,sports clothing:1,restaurant:6,candles:1,perfume:1,nutritional supplements:2,footwear:2"
1101,Security Square Mall,Baltimore city,maryland,24510,39.300213,-76.610516,620961,296685,209643241,28768302,80.944,11.108,4.2,35.7,33.1,34.4,11.7,0.4,2.3,63.7,53.6,52.9,47.1,46.4,84.2,1.8,29.6,10.7,"footwear:1,cookies:1,beauty products:1,personalized gifts:1,restaurant:2,clothing:5,diamonds:1,women's clothing:1,women's shoes:1,jewelry:2"
1102,Towne West Square,Sedgwick County,kansas,20173,37.683807,-97.459451,498365,211593,2583543968,30067177,997.512,11.609,2.2,35.1,33.4,34.2,11.4,1.2,4.1,9.3,65.6,50.6,49.4,34.4,91.5,5.1,76.3,10.6,"consumer electronics:2,footwear:2,cellular accessories:1,jewelry:4,headwear:1,sporting goods:1,video games:1,women's clothing:5,eyewear:3, clothing:2,nutritional supplements:1,restaurant:2,beauty products:2,personalized gifts:1,hair care:1,clothing:10,women's jewelry:2,guest services:1,shoes:1"
1103,Richardson Square Mall,Dallas County,texas,48113,32.766987,-96.778424,2368139,943257,2256602704,96696353,871.279,37.335,2.3,33.4,31.6,32.5,8.8,0.7,5,22.3,65.4,50.6,49.4,34.6,90.7,15.5,53.5,11.9,"clothing:1,restaurant:1"
1104,Shenango Valley Mall,Mercer County,pennsylvania,42085,41.300014,-80.252786,116638,51733,1741960803,25978863,672.575,10.03,2.1,44.4,41.2,42.8,18.5,0.1,0.6,5.8,66.2,51,49,33.8,89.8,0.3,91.6,9.2,"nutritional supplements:1,footwear:1,beauty products:1,jewelry:2,hair care:1,women's clothing:2,photography:1,video games:1,clothing:8,personalized gifts:1"
1105,Melbourne Square,Brevard County,florida,12009,28.298275,-80.700384,543376,269864,2630557912,1402040884,1015.664,541.331,3.7,46.7,44.2,45.5,20.4,0.4,2.1,10.1,64.6,51,49,35.4,85.1,1.7,83,14.4,"cookies:1,shoes:1,women's clothing:2,sporting goods:1,clothing:9,guest services:1,jewelry:5,eyewear:1,personalized gifts:1,women's handbags:1, clothing:1,coffee:1,telecommunication:2,sports apparel:1,beauty products:2,children's clothing:1,consumer electronics:1,hair care:2,cellular accessories:1,restaurant:3,video games:1,perfume:1,nutritional supplements:1,footwear:3"
1106,Bellis Fair,Whatcom County,washington,53073,48.842653,-121.836432,201140,90665,5456733620,1027224451,2106.857,396.614,2.2,37.8,35.4,36.6,13.2,2.8,3.5,1,60.8,50.5,49.5,39.2,88.6,3.3,85.4,5.1,"nutritional supplements:2,video games:1,sports clothing:1,shoes:1,restaurant:5,plus size clothing:1,women's clothing:3,eyewear:2,children's apparel:1,sports apparel:1,jewelry:3,department store:1,headwear:1,footwear:1,hair care:2,girl's clothing:1,clothing:11,maternity clothing:1,women's shoes:1"
1107,Woodfield Shopping Center,DuPage County,illinois,17043,41.852058,-88.086038,916924,356179,848218379,23083362,327.499,8.913,2,39.5,36.6,38.2,11.6,0.3,10.1,4.6,70.6,51,49,29.4,94.7,4.9,77.9,7.9,"men's clothing:1,cookies:1,chocolates:1,men's gifts:1,shoes:3,children's footwear:1,photography:1,makeup:1,women's clothing:7,children's apparel:1,disney:1,sports apparel:1,beauty products:3,hair care:1,perfume:1,clothing:20,ice cream:1,women's shoes:2,fasion wholesale:1,consumer electronics:2,footwear:2,stuffed animals:1,sports clothing:1,jewelry:5,restaurant:11,candles:1, accessories:1,video games:1, beauty products:1,eyewear:4,mattress:1,telecommunication:3,headwear:1,personalized gifts:1,girl's clothing:1, clothing:2,plus size clothing:1,women's jewelry:1"
1108,Triangle Town Center,Wake County,north carolina,37183,35.789846,-78.650624,900993,371836,2163206258,57246693,835.219,22.103,2.5,35.3,33.4,34.4,8.5,0.5,5.4,20.7,65.7,51.3,48.7,34.3,93,4.5,66.3,8.4,"men's clothing:4,cookies:1,men's gifts:1,sporting goods:1,children's footwear:1,photography:1,women's clothing:5,coffee:1,children's apparel:1,home furnishings:1,sports apparel:1,beauty products:1,hair care:1,children's clothing:1,clothing:16,maternity clothing:1,shoes:1,consumer electronics:1,footwear:1,cellular accessories:1,jewelry:5,restaurant:5, beauty products:1,eyewear:3,perfume:1,nutritional supplements:1,personalized gifts:1,girl's clothing:1,books and digital media:1,furniture:1, clothing:1,women's shoes:1,women's jewelry:1"
1109,The Shops at Tanforan,San Mateo County,california,6081,37.414664,-122.371542,718451,271031,1161371825,757704380,448.408,292.551,1.3,40.5,37.9,39.3,13.4,0.5,24.8,2.8,68.1,50.8,49.2,31.9,95.1,11.8,53.4,4.6,"cookies:1,shoes:1,women's clothing:2,hair care:1,clothing:11,ice cream:1,telecommunication:3,fasion wholesale:1,department store:1,jewelry:2,eyewear:2,personalized gifts:1,girl's clothing:1,books and digital media:1,coffee:1,women's shoes:1,plus size clothing:1,beauty products:2,consumer electronics:1,sports clothing:1,restaurant:5,video games:1,nutritional supplements:1,footwear:1"
1110,Park West Place,Miami-Dade County,florida,12086,25.610494,-80.499045,2496435,989435,4915061046,1381673402,1897.716,533.467,3.2,39.4,36.9,38.2,14.1,0.2,1.5,18.9,69.5,51.6,48.4,30.5,87.7,3.2,73.8,8.9,"coffee:1,telecommunication:2,plus size clothing:1,home furnishings:1,clothing:1,department store:1,jewelry:1,restaurant:4,nutritional supplements:1,footwear:2,girl's clothing:1"
1111,Manhattan Village,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"men's gifts:1,women's shoes:1,women's clothing:4,children's apparel:1,beauty products:2,clothing:1,furniture:2,restaurant:1,chocolates:2,eyewear:1,footwear:1,women's handbags:1"
1112,Central Park/Marketplace/Town Ctr,Fredericksburg city,virginia,51630,38.299272,-77.486658,24286,10467,27039905,182486,10.44,0.07,2.9,28.4,29.2,28.8,9.9,0.4,2.8,22.6,51.1,54.1,45.9,48.9,90.8,5.9,64.2,8.5,"fasion wholesale:1,consumer electronics:1,coffee:1,men's clothing:2,telecommunication:3,restaurant:8,candles:1,plus size clothing:1,women's clothing:2,home furnishings:1,nutritional supplements:2,department store:1,footwear:2,furniture:1,clothing:1,women's shoes:1"
1113,Glendale Galleria,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"cookies:1,chocolates:2,men's gifts:1,children's footwear:1,denim:1,women's clothing:1,children's apparel:3,clothing:16,telecommunication:1,fasion wholesale:1,department store:1,jewelry:3,headwear:1,eyewear:2,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,men's clothing:1,women's shoes:2,plus size clothing:2,sports apparel:1,beauty products:1,stuffed animals:1,restaurant:3,nutritional supplements:1,footwear:2"
1114,Christiana Mall,New Castle County,delaware,10003,39.575915,-75.644132,538479,217511,1104074798,175385759,426.286,67.717,1.7,38.6,35.7,37.2,12.3,0.3,4.3,23.7,66.5,51.6,48.4,33.5,93.2,3.5,65.5,9.9,"men's clothing:2,cookies:1,consumer electronics:1,men's gifts:1,shoes:2,headwear:1,denim:1,makeup:1,women's clothing:4,coffee:1,children's apparel:1,disney:1,sports apparel:1,beauty products:3,chocolates:1,children's clothing:1,clothing:16,stuffed animals:1,department store:1,footwear:1,jewelry:6,restaurant:9,girl's clothing:1,candles:1, accessories:1,video games:1, beauty products:1,eyewear:2,perfume:1,nutritional supplements:1,telecommunication:2,personalized gifts:1,women's handbags:1,diamonds:1,books and digital media:1,furniture:2,women's shoes:3, clothing:1,clothing & shoes:1,women's jewelry:1"
1115,The Wharf,Baldwin County,alabama,1003,30.659218,-87.746067,182265,104061,4117521611,1133190229,1589.784,437.527,5,42.2,40.1,41.1,16.8,0.7,0.7,9.4,69.9,51.1,48.9,30.1,70.3,2,85.7,27.8,"coffee:1,shoes:1,stuffed animals:1,restaurant:1"
1116,The 900 Shops,Cook County,illinois,17031,41.894294,-87.645455,5194675,2180359,2448383588,1785882224,945.326,689.533,3,36.6,34,35.3,11.9,0.4,6.2,24.8,61.6,51.6,48.4,38.4,90.2,10.6,55.4,9.6,"women's clothing:1,women's handbags:1,clothing & shoes:1,furniture:1"
1117,The Mall at Whitney Field,Middlesex County,massachusetts,25017,42.479477,-71.396507,1503085,612004,2118135038,75739760,817.817,29.243,1.3,39.8,37.1,38.5,13.1,0.2,9.3,4.7,63.1,51.4,48.6,36.9,94.9,3.3,80,5.7,"men's clothing:1,consumer electronics:1,jewelry:3,restaurant:2,candles:1,women's clothing:1,eyewear:1,shoes:1,nutritional supplements:1,beauty products:1,personalized gifts:1,hair care:1,children's clothing:1,clothing:11,women's jewelry:1,footwear:2"
1118,Waterworks Mall,Allegheny County,pennsylvania,42003,40.46892,-79.98092,1223348,589201,1890884266,37418903,730.075,14.448,2.1,43.3,39.3,41.3,16.8,0.1,2.8,13.2,57.7,52.1,47.9,42.3,90.6,0.5,81.5,8.9,"telecommunication:1,home furnishings:1,beauty products:1,children's clothing:1,clothing:2,ice cream:1,furniture:1,restaurant:2,eyewear:1,nutritional supplements:1,footwear:1,girl's clothing:1,books and digital media:1"
1119,Rock Hill Galleria,York County,south carolina,45091,34.97019,-81.183188,226073,94196,1762732402,39400683,680.595,15.213,2.4,37.8,36.5,37.2,11.3,0.9,1.5,19,71.1,51.7,48.3,28.9,91.2,1.9,74.8,12.3,"sporting goods:1,photography:1,women's clothing:1,beauty products:1,hair care:1,clothing:9,telecommunication:1,cellular accessories:1,jewelry:1,candles:1,nutritional supplements:1,footwear:2"
1120,Cache Valley Mall,Cache County,utah,49005,41.734225,-111.744581,112656,37024,3016851000,21264707,1164.813,8.21,1.7,25.3,25.6,25.5,7.7,0.6,1.9,0.6,76.2,50.3,49.7,23.8,93.8,5.5,89.1,4.8,"telecommunication:1,women's clothing:2,beauty products:1,hair care:2,children's clothing:1,clothing:5,maternity clothing:1,consumer electronics:1,sports clothing:1,restaurant:2,video games:1, beauty products:1,footwear:1,women's jewelry:1"
1121,Quintard Mall,Calhoun County,alabama,1015,33.771706,-85.822513,118572,53289,1569189995,16624267,605.868,6.419,2.7,39.6,36.5,38.2,14.3,0.5,0.7,20.6,66.8,51.8,48.2,33.2,88.8,1.6,74.9,10.7,"cookies:1,telecommunication:1,sporting goods:1,women's clothing:1,home furnishings:1,beauty products:1,hair care:1,clothing:10,women's shoes:1,cellular accessories:1,jewelry:1,restaurant:2,nutritional supplements:1,footwear:1,women's jewelry:1"
1122,Providence MarketPlace,Wilson County,tennessee,47189,36.148476,-86.29021,113993,45568,1478433235,32037460,570.826,12.37,1.9,40,38.5,39.3,12.2,0.3,1.1,6.4,75.6,51,49,24.4,93.4,1.5,88.9,8.4,"men's clothing:1,consumer electronics:1,telecommunication:1,restaurant:5,candles:1,plus size clothing:1,women's clothing:2,eyewear:1,nutritional supplements:1,department store:1,beauty products:1,footwear:1,sporting goods:1,girl's clothing:1,children's clothing:1,clothing:5"
1123,Charleston Town Center Mall,Kanawha County,west virginia,54039,38.328061,-81.523522,193063,92618,2335100448,24173038,901.587,9.333,2.1,44.2,40.6,42.4,16.7,0.2,1,7.3,62,52,48,38,90.9,0.3,89.1,6.8,"cookies:1,shoes:1,headwear:1,women's clothing:6,children's apparel:2,hair care:1,clothing:15,maternity clothing:1,telecommunication:2,jewelry:3,eyewear:2,personalized gifts:1,diamonds:1, clothing:2,women's jewelry:1,men's clothing:1,coffee:1,plus size clothing:1,women's shoes:2,makeup:1,girl's clothing:1,sports apparel:1,beauty products:1,children's clothing:1,stuffed animals:1,restaurant:5,candles:1,video games:1, beauty products:1,nutritional supplements:1,footwear:2"
1124,Walnut Square,Whitfield County,georgia,13313,34.801726,-84.968541,102599,39899,752297142,1530155,290.464,0.591,3.1,35.3,32.8,34,11.2,0.6,1.3,3.7,74.2,50.2,49.8,25.8,88.2,15,76.6,15.6,"cookies:1,hair care:1,photography:1,women's clothing:1,beauty products:1,sporting goods:1,children's clothing:1,clothing:6,telecommunication:2,jewelry:2,restaurant:2,shoes:1,nutritional supplements:1,footwear:1, clothing:1"
1125,Phillipsburg Mall,Northampton County,pennsylvania,42095,40.752791,-75.307447,297735,120363,957444154,20006520,369.671,7.725,1.6,42.3,39.5,40.9,15.7,0.2,2.4,5,68.9,51.2,48.8,31.1,94.4,3.8,86.3,6.8,"men's clothing:1,women's shoes:1,women's clothing:1,hair care:1,clothing:7,maternity clothing:1,consumer electronics:1,jewelry:4,restaurant:1,candles:1, beauty products:1,nutritional supplements:2,women's jewelry:1,girl's clothing:1"
1126,The Shoppes at Blackstone Valley,Worcester County,massachusetts,25027,42.311693,-71.940282,798552,326788,3912876833,177216729,1510.77,68.424,1.8,40.1,38.1,39.2,12.8,0.2,4,4.2,66.8,50.8,49.2,33.2,92.7,3.6,85.6,7.7,"men's clothing:1,consumer electronics:1,jewelry:1,restaurant:3,candles:1,plus size clothing:1,women's clothing:2,children's footwear:1,department store:1,footwear:2,sporting goods:1,girl's clothing:1,books and digital media:1,furniture:1,clothing:4,ice cream:1,telecommunication:3"
1127,Kaleidoscope at the Hub,Fulton County,georgia,13121,33.790034,-84.468182,920581,437105,1363977166,19917366,526.635,7.69,5.2,35,33.3,34.2,9.1,0.2,5.6,44.1,55.6,51.3,48.7,44.4,86.1,3.4,44.5,13.7,"clothing:2,restaurant:2"
1128,Greenspoint Mall,Harris County,texas,48201,29.857273,-95.393037,4092459,1598698,4411986582,191671993,1703.478,74.005,2.3,33,31.4,32.2,8.1,0.7,6.2,18.9,68.7,50.2,49.8,31.3,89.8,14.3,56.6,13.7,"nutritional supplements:2,cookies:1,footwear:2,women's shoes:1,headwear:1,photography:1,restaurant:1,women's clothing:3,children's apparel:1,shoes:1,sports apparel:1,telecommunication:1,beauty products:1,personalized gifts:1,clothing:5,jewelry:2"
1129,Algonquin Commons,McHenry County,illinois,17111,42.324298,-88.452245,308760,116040,1562206475,19791771,603.171,7.642,2,38.8,37,38,10.1,0.3,2.5,1.1,75.4,50.1,49.9,24.6,94.1,4.3,90.1,8.6,"men's clothing:1,shoes:1,children's footwear:1,diamonds:1,women's clothing:5,children's apparel:1,home furnishings:1,beauty products:1,sporting goods:1,children's clothing:1,clothing:11,furniture:1,restaurant:1,candles:1,girl's clothing:1"
1130,Lakeport Commons,DuPage County,illinois,17043,41.852058,-88.086038,916924,356179,848218379,23083362,327.499,8.913,2,39.5,36.6,38.2,11.6,0.3,10.1,4.6,70.6,51,49,29.4,94.7,4.9,77.9,7.9,"men's clothing:1,consumer electronics:1,coffee:1,women's shoes:1,girl's clothing:1,clothing:5,plus size clothing:1,women's clothing:2,maternity clothing:1,restaurant:2"
1131,Viewmont Mall,Lackawanna County,pennsylvania,42069,41.44025,-75.609587,214437,96832,1189006298,15105278,459.078,5.832,1.9,43.5,40.2,41.8,17.7,0.2,1.7,2.5,62.7,51.9,48.1,37.3,90.1,2,92,7.5,"men's clothing:1,consumer electronics:1,shoes:1,restaurant:3,video games:1,women's clothing:2,eyewear:1,nutritional supplements:2,jewelry:5,beauty products:2,headwear:1,personalized gifts:1,girl's clothing:1,clothing:12,women's jewelry:1,telecommunication:2"
1132,Mackinaw Crossings,Emmet County,michigan,26047,45.590094,-84.986822,32694,21304,1210803605,1073558172,467.494,414.503,4,44.5,41.7,43.1,16.6,3.7,0.5,0.5,66,50.7,49.3,34,63.8,0.2,92.9,17.5,
1133,Emerald Square,Providence County,rhode island,44007,41.870488,-71.578242,626667,264835,1060604571,67737918,409.502,26.154,2.1,38.6,35.3,37,13.5,0.7,3.7,8.5,61.9,51.7,48.3,38.1,91.3,9.6,73.4,8.9,"cookies:1,shoes:1,headwear:1,women's clothing:5,children's apparel:2,hair care:1,clothing:14,guest services:1,telecommunication:3,jewelry:4,eyewear:3,mattress:1,personalized gifts:1,girl's clothing:1, clothing:1,women's jewelry:2,men's clothing:2,women's shoes:1,photography:2,plus size clothing:2,sports apparel:1,beauty products:2,children's clothing:1,consumer electronics:2,sports clothing:1,restaurant:4,candles:1,perfume:1,nutritional supplements:2,footwear:2"
1134,Scottsdale Fashion Square,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"coffee:1,men's gifts:1,women's shoes:1, beauty products:1,denim:1,makeup:1,women's clothing:7,children's apparel:2,skincare:1,beauty products:3,hair care:1,children's clothing:1,clothing:18,stuffed animals:1,fasion wholesale:1,footwear:1,cellular accessories:1,jewelry:4,restaurant:8, accessories:1,chocolates:1,shoes:2,eyewear:2,mattress:1,nutritional supplements:1,telecommunication:2,personalized gifts:1,women's handbags:1,furniture:2, clothing:2,disney:1,women's jewelry:1"
1135,Paramus Park,Bergen County,new jersey,34003,40.95909,-74.074522,905116,352388,603490137,35385294,233.009,13.662,1.2,42.5,39.7,41.1,15.1,0.2,14.5,5.8,71.1,51.8,48.2,28.9,95.3,5,71.9,5.6,"men's gifts:1,shoes:1,headwear:1,women's clothing:5,children's apparel:1,clothing:9,telecommunication:1,jewelry:5, accessories:1,children's footwear:1,eyewear:2,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,disney:1,men's clothing:1,women's shoes:1,beauty products:2,children's clothing:1,stuffed animals:1,restaurant:8,candles:1,video games:1,nutritional supplements:1,footwear:2"
1136,Everett Mall,Snohomish County,washington,53061,48.054913,-121.766412,713335,286659,5406013264,282371494,2087.273,109.024,2.4,38.1,36.1,37.1,10.3,1.4,8.9,2.5,67.9,50,50,32.1,93.6,3.8,78.4,6,"telecommunication:1,photography:1,women's clothing:2,beauty products:1,hair care:1,clothing:9,shoes:1,consumer electronics:2,sports clothing:1,jewelry:4,restaurant:4,eyewear:3,nutritional supplements:1,footwear:2"
1137,North Shore Square,St. Tammany Parish,louisiana,22103,30.410022,-89.951962,233740,95412,2189966775,721668349,845.551,278.638,2.4,40.2,38.2,39.3,12.7,0.5,1.3,11.4,73.2,51.2,48.8,26.8,91.7,1.4,83.6,10.5,"footwear:2,video games:1,shoes:1,restaurant:3,sporting goods:1,plus size clothing:1,women's clothing:1,home furnishings:1,nutritional supplements:1,beauty products:1,personalized gifts:1,hair care:1,diamonds:1,children's clothing:1,furniture:1,clothing:9,women's jewelry:1,jewelry:2"
1138,Santa Rosa Plaza,Sonoma County,california,6097,38.532574,-122.945194,483878,204572,4081430136,497530353,1575.849,192.098,1.9,41.6,38,39.9,13.9,1.3,3.8,1.6,63,50.8,49.2,37,90.8,11.8,76.8,5.1,"cookies:1,men's gifts:1,shoes:1,headwear:1,women's clothing:2,children's apparel:3,skincare:1,hair care:1,clothing:11,guest services:1,jewelry:4,children's footwear:1,eyewear:3,mattress:1,personalized gifts:1,girl's clothing:1, clothing:2,women's jewelry:2,coffee:1,telecommunication:2,makeup:1,sports apparel:1,beauty products:2,children's clothing:1,consumer electronics:2,sports clothing:1,restaurant:8,candles:1,nutritional supplements:1,footwear:1"
