mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
40,Westfield  Louis Joliet Shopping Centre,Will County,illinois,17197,41.448474,-87.978456,677560,237501,2167580722,31904495,836.908,12.318,1.9,36.3,34.5,35.4,9.3,0.3,4.6,11.2,77.3,50.3,49.7,22.7,94.8,5.8,76,7.4,"shoes:1,headwear:1,women's clothing:2,children's apparel:1,skincare:1,clothing:12,maternity clothing:1,jewelry:5,eyewear:3,mattress:1,personalized gifts:1,women's jewelry:1,telecommunication:3,photography:2,plus size clothing:2,children's clothing:1,consumer electronics:2,sports clothing:1,restaurant:4,candles:1, beauty products:1,nutritional supplements:1,footwear:1"
41,Rivercenter,Crockett County,tennessee,47033,35.811312,-89.135349,14586,6425,687731312,529234,265.535,0.204,2,40.3,38.7,39.6,16.4,0.1,0.2,12.6,71,52,48,29,88.9,6.9,78.7,10.1,"men's clothing:1,nutritional supplements:1,cookies:1,sports clothing:1,women's shoes:2,restaurant:2,shoes:1,headwear:1,women's clothing:2,coffee:1,eyewear:1,sports apparel:1,beauty products:1,women's jewelry:1,diamonds:1,clothing:9, clothing:1,disney:1,jewelry:1"
42,Eastland Mall,Vanderburgh County,indiana,18163,38.02007,-87.586166,179703,83003,604697995,7393314,233.475,2.855,2.8,38.9,36.1,37.5,14.4,0.2,1.1,9.1,60.6,51.8,48.2,39.4,89.7,1,86.2,11.4,"shoes:1,headwear:1,women's clothing:8,children's apparel:3,home furnishings:1,hair care:2,clothing:16,maternity clothing:1,guest services:1,telecommunication:1,jewelry:5,eyewear:2,mattress:1,personalized gifts:1,women's handbags:1, clothing:2,women's jewelry:2,women's shoes:2,plus size clothing:1,sports apparel:1,beauty products:2,children's clothing:1,consumer electronics:2,restaurant:4,candles:1,video games:1, beauty products:1,nutritional supplements:1,footwear:3"
43,Beverly Center,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"fasion wholesale:1,men's gifts:1,shoes:1,restaurant:4,chocolates:1,women's clothing:3,eyewear:1,children's apparel:1,home furnishings:1,nutritional supplements:1,beauty products:3,headwear:1,women's jewelry:1,women's handbags:1,clothing:6,telecommunication:1"
44,College Square,Hamblen County,tennessee,47063,36.218397,-83.266071,62544,26963,417450989,37877929,161.179,14.625,2.7,41.1,38.1,39.6,15.9,0.3,0.7,4,69.9,51.3,48.7,30.1,91.1,6.2,86.6,9.1,"cookies:1,sporting goods:1,photography:1,beauty products:1,hair care:2,clothing:6,shoes:1,jewelry:2,restaurant:2,eyewear:1,nutritional supplements:1,women's jewelry:1"
45,Colony Place at Plymouth,Plymouth County,massachusetts,25023,41.987196,-70.741942,494919,200161,1706996627,1124514393,659.075,434.177,1.5,42.2,39.8,41.1,13.9,0.2,1.2,7.2,70.6,51.4,48.6,29.4,90.5,3.2,85.5,6.7,"men's clothing:1,consumer electronics:1,coffee:1,women's shoes:1,restaurant:3,children's footwear:1,women's clothing:3,children's apparel:1,home furnishings:1,beauty products:1,sporting goods:1,girl's clothing:1,children's clothing:1,clothing:2,maternity clothing:1,ice cream:1"
46,Baybrook Mall,Galveston County,texas,48167,29.228706,-94.894865,291309,132492,979943275,1283210753,378.358,495.45,3.1,38.1,36.3,37.2,11.3,0.6,3,13.8,69.5,50.5,49.5,30.5,82.2,7.4,72.5,16.3,"men's gifts:1,shoes:1,headwear:1,denim:1,women's clothing:4,children's apparel:3,clothing:16,maternity clothing:1,telecommunication:1,fasion wholesale:1,jewelry:5, accessories:1,chocolates:1,eyewear:1,mattress:1,women's jewelry:1,women's handbags:1,girl's clothing:1, clothing:2,personalized gifts:1,plus size clothing:1,women's shoes:2,makeup:1,sports apparel:1,beauty products:2,children's clothing:1,sports clothing:1,restaurant:7, beauty products:1,nutritional supplements:1"
47,The Pier Shops at Caesars,Atlantic County,new jersey,34001,39.469354,-74.633758,274549,126647,1439267859,300755451,555.704,116.122,2.5,41,38.6,39.9,14.2,0.4,7.5,16.1,66.8,51.5,48.5,33.2,81.2,7.4,65.4,9.5,"beauty products:1,men's gifts:1,jewelry:1,women's handbags:1,clothing:1,women's clothing:4,eyewear:1,children's apparel:1,footwear:1"
48,Akers Mill Square,Fulton County,georgia,13121,33.790034,-84.468182,920581,437105,1363977166,19917366,526.635,7.69,5.2,35,33.3,34.2,9.1,0.2,5.6,44.1,55.6,51.3,48.7,44.4,86.1,3.4,44.5,13.7,"plus size clothing:1,home furnishings:1,restaurant:2"
49,The Promenade Shops at Evergreen Walk,Hartford County,connecticut,9003,41.806053,-72.732916,894014,374249,1903891914,40213499,735.097,15.527,1.4,41.4,38.2,39.9,14.6,0.3,4.2,13.3,64.9,51.7,48.3,35.1,93.7,7.1,72.4,8,"women's shoes:2,clothing & shoes:1,restaurant:1,clothing:6, accessories:1,girl's clothing:1,women's clothing:3,furniture:2,ice cream:1,shoes:1"
