	0	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent
745	0	192768	82058	2754864273	79292408	1063.659	30.615	1.4	37.2	34.6	35.9	12.6	0.5	1.1	24.8	68.2	51.2	48.8	31.8	90.2	0.9	70.8	11.8
746	0	92501	42504	2864787762	56464867	1106.101	21.801	2.2	39.7	36.1	38.1	14.8	0.5	0.8	62.2	65.9	53.0	47.0	34.1	84.2	0.9	34.3	10.5
747	0	366513	143169	581601212	11217700	224.557	4.331	1.6	39.2	36.2	37.8	12.6	0.3	8.9	20.3	67.2	51.2	48.8	32.8	93.0	6.2	61.4	8.5
748	0	366513	143169	581601212	11217700	224.557	4.331	1.6	39.2	36.2	37.8	12.6	0.3	8.9	20.3	67.2	51.2	48.8	32.8	93.0	6.2	61.4	8.5
749	0	375770	159222	13896869603	22331525	5365.611999999999	8.622	5.5	36.0	34.8	35.3	13.9	5.6	1.7	4.6	73.4	47.5	52.5	26.6	78.9	11.5	72.4	13.9
750	0	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8
751	0	919628	398510	1356745512	57153194	523.842	22.067	3.3	34.9	32.8	33.9	8.8	0.5	4.6	30.8	62.3	51.6	48.4	37.7	90.9	6.2	55.3	11.3
752	0	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8
753	0	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9
754	0	113993	45568	1478433235	32037460	570.826	12.37	1.9	40.0	38.5	39.3	12.2	0.3	1.1	6.4	75.6	51.0	49.0	24.4	93.4	1.5	88.9	8.4
755	0	626667	264835	1060604571	67737918	409.502	26.154	2.1	38.6	35.3	37.0	13.5	0.7	3.7	8.5	61.9	51.7	48.3	38.1	91.3	9.6	73.4	8.9
756	0	306479	97570	773832198	868122919	298.778	335.184	1.6	30.0	28.4	29.2	8.2	0.5	1.8	1.2	81.5	49.8	50.2	18.5	95.9	3.2	90.0	6.5
