	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent	0
865	1029655.0	364031.0	1922501205.0	168569885.0	742.2819999999998	65.085	2.0	31.3	30.3	30.8	8.7	0.9	3.3	1.6	70.8	49.7	50.3	29.2	94.1	8.3	81.2	6.8	0
866	161252.0	61634.0	1233210616.0	54041937.0	476.145	20.866	2.6	36.0	33.9	35.0	10.1	0.3	1.3	21.9	75.9	51.3	48.7	24.1	93.7	2.8	72.2	8.7	0
867	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
868	44151.0	22163.0	1471923432.0	17626527.0	568.313	6.806	2.2	45.4	41.0	43.3	17.9	0.2	0.9	1.3	60.9	51.2	48.8	39.1	87.3	0.9	95.0	8.5	0
869	1152425.0	509469.0	1433793826.0	137155436.0	553.591	52.956	2.1	36.9	34.9	35.9	11.4	0.9	6.2	11.8	57.3	50.9	49.1	42.7	93.4	3.4	74.4	7.6	0
870	601723.0	296719.0	158114680.0	18884970.0	61.048	7.292000000000002	3.4	34.0	33.6	33.8	11.4	0.3	3.5	50.7	42.3	52.8	47.2	57.7	89.9	4.1	38.5	7.9	0
871	21006.0	7631.0	684416224.0	8199770.0	264.255	3.1660000000000004	1.0	33.8	31.9	32.8	11.4	2.7	3.0	3.1	71.8	50.1	49.9	28.2	94.6	18.1	70.5	7.4	0
872	238823.0	111833.0	1066098928.0	35386274.0	411.6230000000001	13.663	2.4	45.0	40.7	42.9	17.9	0.2	0.7	15.7	63.5	51.6	48.4	36.5	88.3	1.4	79.9	10.9	0
873	109299.0	50106.0	6716936093.0	64479320.0	2593.424	24.896	1.8	35.2	33.5	34.3	11.4	2.6	1.1	0.4	56.5	49.7	50.3	43.5	91.7	0.4	92.7	4.5	0
874	28961.0	14153.0	1331696606.0	4805084.0	514.1709999999998	1.855	2.0	43.6	40.4	41.9	16.5	0.2	0.3	31.3	67.6	52.4	47.6	32.4	84.6	0.3	66.6	10.3	0
875	93389.0	36574.0	1036420180.0	21054534.0	400.164	8.129	2.1	44.1	42.2	43.3	15.5	0.1	0.6	1.3	74.9	50.8	49.2	25.1	93.7	0.3	96.9	8.2	0
876	259424.0	104705.0	366664243.0	7152613.0	141.57	2.762	4.1	33.1	30.1	31.6	6.6	0.4	5.0	66.1	68.8	52.1	47.9	31.2	86.6	7.1	18.9	16.7	0
877	1809034.0	714803.0	2236735560.0	100223390.0	863.6080000000002	38.696	2.0	34.3	32.4	33.4	8.9	0.7	4.7	14.9	69.2	51.0	49.0	30.8	91.9	10.0	66.6	11.7	0
878	1820584.0	821693.0	1585280173.0	156946749.0	612.08	60.597	2.9	38.6	35.8	37.3	12.7	0.4	2.5	40.5	64.1	52.0	48.0	35.9	85.5	1.8	52.3	14.4	0
879	600158.0	285797.0	396268588.0	4225359.0	153.0	1.631	3.6	33.9	33.5	33.7	10.4	1.4	3.4	10.2	47.5	50.0	50.0	52.5	92.1	11.9	68.9	7.2	0
880	919628.0	398510.0	1356745512.0	57153194.0	523.842	22.067	3.3	34.9	32.8	33.9	8.8	0.5	4.6	30.8	62.3	51.6	48.4	37.7	90.9	6.2	55.3	11.3	0
881	17411.0	7831.0	19476234.0	757309.0	7.52	0.292	2.6	43.9	39.6	41.9	19.6	0.4	3.3	10.2	64.4	53.7	46.3	35.6	92.9	1.5	82.3	8.0	0
882	147546.0	65756.0	1107573369.0	61257184.0	427.636	23.652	1.7	41.5	38.5	40.0	16.2	0.3	1.6	9.0	62.6	50.9	49.1	37.4	93.2	4.4	81.6	7.8	0
883	285407.0	120875.0	2169240553.0	22876822.0	837.548	8.833	1.8	33.6	31.7	32.6	10.9	0.7	3.5	3.5	60.2	49.9	50.1	39.8	93.8	2.4	87.1	7.5	0
884	269291.0	185992.0	2936777435.0	313664031.0	1133.896	121.106	4.9	42.7	39.7	41.1	17.1	0.5	1.0	13.4	64.4	51.1	48.9	35.6	60.3	3.1	79.9	29.2	0
885	62259.0	30777.0	2594391877.0	36393713.0	1001.7	14.052	2.8	41.7	40.1	40.9	16.5	0.2	1.1	1.7	61.2	51.6	48.4	38.8	80.0	0.7	94.7	8.3	0
886	1223348.0	589201.0	1890884266.0	37418903.0	730.075	14.448	2.1	43.3	39.3	41.3	16.8	0.1	2.8	13.2	57.7	52.1	47.9	42.3	90.6	0.5	81.5	8.9	0
887	534543.0	229967.0	1979289991.0	25446228.0	764.2080000000002	9.825	1.5	41.8	39.0	40.4	12.6	0.9	2.6	1.1	65.4	50.4	49.6	34.6	94.9	4.2	88.4	6.4	0
888	471221.0	201434.0	4568198649.0	43802705.0	1763.7910000000004	16.912	2.1	38.1	35.6	36.8	12.9	1.5	2.1	1.7	63.2	50.6	49.4	36.8	92.9	1.2	89.2	8.3	0
889	12087.0	4696.0	1269664203.0	6755314.0	490.22	2.608	1.9	45.7	37.4	40.6	14.5	0.2	0.4	58.1	65.9	41.4	58.6	34.1	85.1	1.3	39.3	10.6	0
890	515269.0	182047.0	1346943286.0	10730649.0	520.058	4.143	2.6	35.4	33.5	34.5	9.6	0.6	3.5	5.7	75.3	50.2	49.8	24.7	93.6	13.0	74.6	8.7	0
891	722023.0	315522.0	150618894.0	160748611.0	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3	0
892	270056.0	116249.0	1703588508.0	42149850.0	657.7589999999999	16.274	2.7	38.3	35.4	36.9	12.5	0.2	1.2	30.5	67.3	51.9	48.1	32.7	90.4	1.2	64.6	9.5	0
893	270056.0	116249.0	1703588508.0	42149850.0	657.7589999999999	16.274	2.7	38.3	35.4	36.9	12.5	0.2	1.2	30.5	67.3	51.9	48.1	32.7	90.4	1.2	64.6	9.5	0
894	146551.0	54963.0	1185563933.0	479715576.0	457.749	185.219	2.4	38.4	36.0	37.4	9.5	0.7	3.0	41.0	75.4	51.7	48.3	24.6	93.2	1.3	50.3	8.6	0
895	864263.0	388486.0	1974068274.0	404712512.0	762.192	156.26	3.4	37.2	34.4	35.8	11.1	0.4	4.2	29.5	63.7	51.5	48.5	36.3	88.1	2.1	60.9	13.6	0
896	111944.0	52133.0	6942144728.0	365348866.0	2680.377	141.062	1.6	39.2	35.7	37.5	13.9	1.0	1.0	2.2	63.9	49.2	50.8	36.1	79.8	0.6	93.9	5.5	0
897	998954.0	438032.0	1315195242.0	39414600.0	507.8	15.218	2.3	41.6	37.9	39.9	15.0	0.2	3.5	23.3	65.1	52.7	47.3	34.9	92.4	0.9	70.3	10.0	0
