,store,store_id
591,sylvan learning,591
592,the gourmet kernel,592
593,thirsty whale,593
594,venetian nail,594
595,vino 100,595
596,barnes noble,596
597,almaden musicdance,597
598,almaden plaza dental care,598
599,ana furniture,599
600,apple one employment,600
601,baskin robbins,601
602,buybuy baby,602
603,costco,603
604,creative hairdressers,604
605,diddams party store,605
606,five guy,606
607,fresh choice,607
608,happi house,608
609,house of bagels,609
610,chase,610
611,chevys mexican,611
612,inspa,612
613,kb fitness,613
614,majestic beauty supply,614
615,metlife home loan,615
616,national first credit,616
617,omaha steaks,617
618,orange leaf,618
619,real produce,619
620,red lobster,620
621,style for less,621
622,tj maxxn more,622
623,tandoori bistro,623
624,tillys,624
625,tuesday morning,625
626,us recruiting air force,626
627,us recruiting army,627
628,us recruiting marines,628
629,us recruiting navy,629
630,viva nail salon,630
631,wingstop,631
632,work world,632
633,macys,633
634,3 d games,634
635,air grafix,635
636,all shoes 9 99,636
637,belts of the world,637
638,bigg city,638
639,cellular zone,639
640,cosmetic cove,640
641,creative consumer rsrch,641
642,cricket,642
643,err,643
644,exclusive furniture,644
645,geovanni clothing,645
646,gizzmos,646
647,glitters,647
648,golddiamond,648
649,image,649
650,kaleidoscoop,650
651,kfc,651
652,lady world,652
653,lollipops,653
654,magic shots,654
655,mero,655
656,oro italiano,656
657,oro perfumania,657
658,palais royal,658
659,pcx,659
660,piccadilly cafeteria,660
661,rainbow,661
662,rainbow pluskids,662
663,sams burgersgyro,663
664,sesame hut,664
665,shoe envy,665
666,star shots,666
667,thirstys,667
668,toyz,668
669,underground station,669
670,uniforms n more,670
671,vibrations,671
672,villa pizza,672
673,visible changes,673
674,brighton,674
675,gold buyer,675
676,amc theaters,676
677,baby gap,677
678,bahama breeze,678
679,bakers,679
680,barnies coffee,680
681,beya,681
682,body shop skinhair care,682
683,club bff,683
684,cops center,684
685,dollar mania,685
686,dq,686
687,elegant accents,687
688,express men,688
689,extreme styles,689
690,fast fix jewelry repair,690
691,g by guess,691
692,hm,692
693,hovan gourmet,693
694,chao cajun,694
695,charlotte russe,695
696,in touch wireless,696
697,ink spot,697
698,ispice,698
699,jerie anns hallmark,699
700,magnific fine jewelrys,700
701,maki of japan,701
702,mandarin express,702
703,max rave,703
704,mayors jewelrys,704
705,mcdonald,705
706,nail spa,706
707,oceanology,707
708,oriental health massage,708
709,orlando ale house,709
710,paris nails,710
711,perfumania,711
712,pinocchios puppet thtre,712
713,professional shoe repair,713
714,quick test,714
715,seasons 52,715
716,sketchers,716
717,sol,717
718,solstice,718
719,taco bell,719
720,the prom store,720
721,traffic,721
722,urban wear,722
723,write in style,723
724,yobelle,724
725,zori store,725
726,amarillo texs steakhouse,726
727,crown vision center,727
728,family christian store,728
729,famous footwear,729
730,fungames arcade,730
731,gold stop,731
732,hickory farms,732
733,china gate,733
734,christian science,734
735,jw s plain ole kitchen,735
736,jackson hewittt tax svcs,736
737,kirlins hallmark,737
738,olgas kitchen,738
739,radio shack wireless,739
740,savvi formal wear,740
741,spirit halloween,741
742,the cookie factory bakery,742
743,us postal service,743
744,yeti wireless,744
745,armani,745
746,bottega veneta,746
747,burberry,747
748,cartier,748
749,cole haan,749
750,dior,750
751,escada,751
752,fendi,752
753,gucci,753
754,hermes,754
755,ilori,755
756,jimmy choo,756
757,juicy couture,757
758,lacoste,758
759,louis vuitton,759
760,michael kors,760
761,ralph lauren,761
762,salvatore ferragamo,762
763,st john,763
764,tiffany,764
765,wolford boutique,765
766,aliceolivia,766
767,anne fontaine,767
768,brooks brothers,768
769,cipollini pronto cafe,769
770,concierge store,770
771,david yurman,771
772,donna karan,772
773,ermenegildo zegna,773
774,estee lauder,774
775,etro,775
776,hirshleifers,776
777,hirshleifers etc,777
778,hirshleifers shoe salon,778
779,hsbc,779
780,ch carolina herrera,780
781,chanel,781
782,chrome hearts,782
783,intermix,783
784,j mendel,784
785,leggiadro,785
786,london jewelrys,786
787,london jewelrys watch,787
788,loro piana,788
789,malandrino,789
790,martin viette,790
791,maxmara,791
792,morgenthal frederics,792
793,oscar de la renta,793
794,prada,794
795,sneakerology,795
796,spring flowers,796
797,theory,797
798,toku,798
799,van cleefarpels,799
800,versace,800
801,vilebrequin,801
802,vince,802
803,albertsons,803
804,amerige cleaners,804
805,beecrazee,805
806,c2 education,806
807,countrywide home loans,807
808,dr alvinjanice arellano,808
809,dr steven yu dds,809
810,golds gym,810
811,hair studio if,811
812,haircutters,812
813,hashigo sushi,813
814,cherry on top,814
815,islands fine burgers,815
816,koba tofu grill,816
817,mathnasium,817
818,mochilato bakerycafe,818
819,olympic golf,819
820,professional nails,820
821,rubios,821
822,sato sushi,822
823,souplantation,823
824,target,824
825,the venue,825
826,togos,826
827,top class pizza,827
828,world tae kwon do academy,828
829,99 cent,829
830,american cutsperms,830
831,anaheim black belt center,831
832,anaheim optometry,832
833,anaheim urgent care,833
834,baskin robbonstogos,834
835,kmart,835
836,burrito grill,836
837,california green cleaners,837
838,cancun juice,838
839,don roberto,839
840,fallas paredes,840
841,fashion avenue,841
842,fashion joy,842
843,first china kitchen,843
844,franciscos halloween,844
845,fullerton community bank,845
846,georgies donuts,846
847,goodwill,847
848,hawaiian king bbq,848
849,hometown buffet,849
850,checkn go,850
851,childrens dental,851
852,ihop,852
853,maria lourdes morato dmd,853
854,nana nails,854
855,us bank,855
856,oreilly auto parts,856
857,pep boys,857
858,planet fitness,858
859,precision laser skin care,859
860,purrfect auto,860
861,rent a center,861
862,sally beauty supply,862
863,shasa shoeaccessory,863
864,staples,864
865,sunsplash tanning,865
866,supercuts,866
867,susies deals,867
868,wss,868
869,yuva threading salon,869
870,anderson express,870
871,bryants barber shop,871
872,carolina scrubs,872
873,cellaris,873
874,enochs karate,874
875,firestone,875
876,charlie nelsons,876
877,chic 5,877
878,ibouncee,878
879,jewelrys bench,879
880,mexican deli,880
881,new yorker,881
882,philly cheese steak,882
883,rochelle,883
884,sunshine wireless,884
885,trends,885
886,ale bre`,886
887,animas 10 cinema,887
888,artscrafts fair,888
889,bola tysbutterflys,889
890,boot barn,890
891,cell needs,891
892,cj banks,892
893,claires boutique,893
894,coach house giftshallmark,894
895,corn dogs plus,895
896,deb shop,896
897,dollar tree store,897
898,fashion shoes,898
899,frs,899
900,g tees,900
901,christiani tees,901
902,inizio,902
903,jcpenney salon,903
904,lenails,904
905,mild to wild knivesswords,905
906,mini mart,906
907,nestle toll house,907
908,home audiovideo,908
909,nori japan,909
910,off the chain,910
911,perfume town,911
912,qwest,912
913,r sports,913
914,rocky mountain chocolate,914
915,samuels jewelrys,915
916,sherries studio,916
917,sofa block oak superstore,917
918,sole source,918
919,southwest ink,919
920,tilt arcade,920
921,turbo graffix,921
922,v burger,922
923,ritz camera,923
924,baja fresh,924
925,bow tie cinemas,925
926,bubbles,926
927,capital one bank,927
928,cloud 9 clothing,928
929,diva boutique,929
930,enchanted art,930
931,hair cuttery,931
932,jennifer convertibles,932
933,lebanese taverna,933
934,melissas hallmark,934
935,millwood furniture,935
936,nail touch,936
937,pa dutch farmers market,937
938,potbelly,938
939,robeks,939
940,sole comfort shoes,940
941,south moon under,941
942,stillridge herb farm,942
943,tgi fridays,943
944,the fresh market,944
945,the healthy back store,945
946,origins,946
947,gordon biersch,947
948,about faces day spa,948
949,arhaus furniture,949
950,as kindred spirits,950
951,atc cleaners,951
952,bank of annapolis,952
953,bin 201,953
954,brio tuscan grille,954
955,cadillac ranch,955
956,desi living innovations,956
957,eastern mountain sports,957
958,go wireless,958
959,great gatherings,959
960,charm city run,960
961,chop house,961
962,lucy activewear,962
963,lululemon,963
964,menchies frozen yogurt,964
965,metro silver diner,965
966,my eye dr,966
967,paladar,967
968,paper source,968
969,philly flash,969
970,pnc bank,970
971,poppystella,971
972,real seafood,972
973,reveal medspa,973
974,smyth,974
975,sur la table,975
976,urban chic,976
977,ziki japanese steakhouse,977
978,skechers,978
979,the body shop,979
980,a crepe place to eat,980
981,all pro sports,981
982,antelope mall vision ctr,982
983,art plus gallery,983
984,bon bon,984
985,buckle it,985
986,cacique,986
987,cellaxs,987
988,century 21,988
989,claim jumpers,989
990,dairy queen,990
991,daniels jewelrys,991
992,dianes hallmark,992
993,dollar land,993
994,elegant jewelry,994
995,european watch repair,995
996,extensions performing art,996
997,fredericks of hollywood,997
998,great steak,998
999,greenhouse cafe,999
1000,hellers general store,1000
1001,hilands gifttobacco,1001
1002,chinese gourmet express,1002
1003,invisible shield,1003
1004,kevin jewelrys,1004
1005,kiddie kandids,1005
1006,la perk,1006
1007,luxury perfume,1007
1008,mediterranean delight,1008
1009,mirage for men,1009
1010,no fear,1010
1011,oak west,1011
1012,oishii japan,1012
1013,pagoda,1013
1014,pias auto accessories,1014
1015,pretzel time,1015
1016,queens nails,1016
1017,stik r place,1017
1018,surf city squeeze,1018
1019,torrid,1019
1020,treasure island,1020
1021,wetzels pretzel,1021
1022,yard house,1022
1023,zizibeh,1023
1024,aerie,1024
1025,arby,1025
1026,aw all american food,1026
1027,air traffic kitesgames,1027
1028,associated bank,1028
1029,boston shoe repair,1029
1030,caribou coffee,1030
1031,cashmere accessories cart,1031
1032,cellairis cart,1032
1033,city looks salonspa,1033
1034,cost cutters,1034
1035,cut above home,1035
1036,evenson hallmark,1036
1037,express mens,1037
1038,fashion bags,1038
1039,gabriella hl tailor,1039
1040,goldys locker room,1040
1041,goodman jewelrys,1041
1042,herbergers,1042
1043,hollywood nails,1043
1044,mongolian grill,1044
1045,karmelkorn,1045
1046,love from minnesota,1046
1047,manchu wok,1047
1048,murano glass,1048
1049,pillow pals cart,1049
1050,prior avenue,1050
1051,proex photo,1051
1052,relaxing massage,1052
1053,one hour photo,1053
1054,sarku japan,1054
1055,solar x sunglasses cart,1055
1056,tradehome shoes,1056
1057,vanity,1057
1058,vision world,1058
1059,wacky bear,1059
1060,as seen on,1060
1061,nextel,1061
1062,c j banks,1062
1063,cell world cart,1063
1064,cellairis,1064
1065,country treasures,1065
1066,europe nails,1066
1067,game stop i,1067
1068,gold rush cart,1068
1069,golden links,1069
1070,health plan massage,1070
1071,ibrow designer cart,1071
1072,kabob house,1072
1073,lee customtailor,1073
1074,mid atlantic protel,1074
1075,miracle ear,1075
1076,one stop wireless,1076
1077,perfect nails,1077
1078,quick jewelry repair,1078
1079,roman delight,1079
1080,shaws jewelrys,1080
1081,shenktittle,1081
1082,skyline sports,1082
1083,sunny shades cart,1083
1084,the shoe department,1084
1085,toy riffic,1085
1086,t shirt zone,1086
1087,4 tip to toe,1087
1088,5 7 9,1088
1089,atlanta jewel,1089
1090,avenues news,1090
1091,bagsthings,1091
1092,bladez barbershop,1092
1093,body central,1093
1094,college station,1094
1095,communitysouthern bank,1095
1096,diamond traders,1096
1097,diamonds forever,1097
1098,discount tire,1098
1099,doctors vision works,1099
1100,dtlr,1100
1101,earthbound trading,1101
1102,fye for your entertainment,1102
1103,fitness depot,1103
1104,freshens yogurt,1104
1105,friedman marketing,1105
1106,glamour shots,1106
1107,great wraps,1107
1108,chastian hair salonday spa,1108
1109,jewelrys touch,1109
1110,johnny rockets,1110
1111,katos cajun,1111
1112,king buffet,1112
1113,la z boy galleries,1113
1114,logans roadhouse,1114
1115,market deli,1115
1116,marksmorgan,1116
1117,maximum one realty,1117
1118,michaels artscrafts,1118
1119,niche boutique,1119
1120,ny clothing,1120
1121,perfume paradise,1121
1122,pretzel maker,1122
1123,refresh,1123
1124,regal cinema,1124
1125,rooms to go,1125
1126,shoe carnival,1126
1127,simply fashion,1127
1128,slimberry,1128
1129,sports addiction,1129
1130,the pet company,1130
1131,the sports stop,1131
1132,white barn candle,1132
1133,three dollar cafe,1133
1134,toninails,1134
1135,touchtel wireless,1135
1136,traffic shoes,1136
1137,allstate insurance services inc,1137
1138,aziz salon and day spa,1138
1139,blue baker,1139
1140,c kirk root designs,1140
1141,conolio oilsvinegars,1141
1142,drunk fish,1142
1143,edward jones,1143
1144,estancia churrascaria,1144
1145,heroeslegacies,1145
1146,cheesecake factory,1146
1147,orvis,1147
1148,renaissance hotel,1148
1149,savory spice shop,1149
1150,texas tech regional admissions center,1150
1151,z gallerie,1151
1152,zoes kitchen,1152
1153,bare escentuals,1153
1154,oakley,1154
1155,lego,1155
1156,360 gourmet world grill,1156
1157,akay jewelersrys,1157
1158,anchor blue,1158
1159,arden b,1159
1160,auto trends,1160
1161,bamboo works chair massage,1161
1162,beauty by thread,1162
1163,briar patch smoke shop,1163
1164,calendar club,1164
1165,candy castle,1165
1166,carls jr,1166
1167,carousel,1167
1168,cathy jean,1168
1169,ccs,1169
1170,citiwear,1170
1171,creative touch,1171
1172,creative touch beauty,1172
1173,cutegirl com,1173
1174,desire jewelrys,1174
1175,devons jewelrys,1175
1176,eminent,1176
1177,eye designs optometry,1177
1178,forever beauty,1178
1179,fragranza,1179
1180,gift card balance reader,1180
1181,go game,1181
1182,hibachi san,1182
1183,hope accessories,1183
1184,chapel hats,1184
1185,icing,1185
1186,jessica mcclintock,1186
1187,mac,1187
1188,metro pcs,1188
1189,orindas originals,1189
1190,pro team sports,1190
1191,quiksilver,1191
1192,reflection shoes,1192
1193,rollerz,1193
1194,ruby thai,1194
1195,scratch proof jackets,1195
1196,seacret,1196
1197,shoe palace,1197
1198,sittra,1198
1199,slim 30,1199
1200,solstice sunglass,1200
1201,sports fever,1201
1202,steak escape,1202
1203,sunglass express,1203
1204,the raider image,1204
1205,totally toys,1205
1206,t shirts plus,1206
1207,xtreme energy,1207
1208,1130 the restaurant,1208
1209,amc 24 theaters,1209
1210,arizona beach company,1210
1211,arizona center quick mart,1211
1212,az wirelesssatellite,1212
1213,brick,1213
1214,cafe roma,1214
1215,culture fresh,1215
1216,flag world,1216
1217,hassayampa trading post,1217
1218,jaynes marketplace,1218
1219,mi amigos mexican grill,1219
1220,my big fat greek,1220
1221,oak creek,1221
1222,sams cafe,1222
1223,sports world,1223
1224,the lobby shop,1224
1225,ecko,1225
1226,levis,1226
1227,neiman marcus,1227
1228,2b bebe,1228
1229,alex optical,1229
1230,all flags and sports,1230
1231,americas taco,1231
1232,amuse,1232
1233,animal kingdom,1233
1234,arena sports bargrill,1234
1235,arizona territory,1235
1236,black market minerals,1236
1237,bostonian clarks,1237
1238,california girlz,1238
1239,capri jewelrys,1239
1240,catwalk,1240
1241,cc market research,1241
1242,corningware corellemore,1242
1243,dippin,1243
1244,el pollo,1244
1245,eyebrow design,1245
1246,fashion nail,1246
1247,franks barber shop,1247
1248,gameworks,1248
1249,garcias,1249
1250,group usa,1250
1251,haggar clothing,1251
1252,harkins luxury 25 cinemas,1252
1253,harkins movie phone,1253
1254,harkins theater,1254
1255,hat club,1255
1256,heroes,1256
1257,holiday inn,1257
1258,hurley,1258
1259,izod,1259
1260,kenneth cole,1260
1261,k momo,1261
1262,lovesac,1262
1263,mylyns fashion,1263
1264,nike,1264
1265,oakley vault,1265
1266,off broadway,1266
1267,oshkosh,1267
1268,p s from aeropostale,1268
1269,papaya,1269
1270,perfume collection,1270
1271,perry ellis,1271
1272,ragz,1272
1273,rainforest cafe,1273
1274,raspados paradise mexican restaurants,1274
1275,reebok,1275
