category,rate,name,address,url,price_range
,,extra touch ,,,
Home Decor,5.0 star rating,retrospect,,,
Cafes,,millefiori,,,
"Beer, Wine & Spirits",2.5 star rating,the wine castle,,,$$
"Greek,Mediterranean",4.0 star rating,planet pita,,,$$
,,rosa cha,,,
"Shared Office Spaces,Commercial Real Estate",3.0 star rating,regus,,,
Bookstores,4.5 star rating,one dollar bookstore,,,$$
"Doctors,Urgent Care,Medical Centers",4.0 star rating,herzing university,,,
"Japanese,Sushi Bars",4.0 star rating,pacific paradise,,,$$$
"Jewelry,Accessories",4.0 star rating,midtown jewelers,,,$$
,,the life center,,,
Wigs,,wig allure,,,
"Desserts,Candy Stores,Shaved Ice",5.0 star rating,i want candy,,,$
"Mobile Phones,Electronics,Mobile Phone Repair",1.0 star rating,verizon wireless - cellular sales authorized retailer,,,$$$$
"Health Markets,Grocery",4.0 star rating,payday hawaii,,,$$
"Japanese,Sushi Bars,Soup",4.5 star rating,asian rice bowl,,,$$
"Gelato,Cafes,Ice Cream & Frozen Yogurt",4.5 star rating,cafe gelato,,,$
Jewelry,,street creations,,,
"Bars,French",3.5 star rating,copper coyote cafe,,,$$
"Coffee & Tea,Bakeries",4.0 star rating,nirvana cafe,,,$$
Hair Salons,3.5 star rating,salon at bridgewater,,,$$
"Women's Clothing,Men's Clothing,Children's Clothing",4.0 star rating,cmi computer com,,,$$
Grocery,2.5 star rating,hannaford supermarket,,,$$
Barbers,3.5 star rating,the corner barber shop,,,$$
Lingerie,4.0 star rating,bare essentials,,,$$$
"Middle Eastern,Mexican",3.5 star rating,studio h20,,,$
"Chocolatiers & Shops,Desserts,Ice Cream & Frozen Yogurt",4.5 star rating,churrico factory,,,$$
Nail Salons,3.5 star rating,my nailsspa,,,$$
Mini Golf,5.0 star rating,glowgolf,,,
"Grocery,Health Markets",4.0 star rating,popcorn cottage,,,$$
"Diners,American (Traditional),Breakfast & Brunch",4.0 star rating,california dreaming,,,$$
"Bikes,Outdoor Gear,Bike Repair/Maintenance",4.5 star rating,blue ridge mountain sport,,,$$
Mexican,3.0 star rating,qdoba,,,$
Shoe Stores,3.0 star rating,underground station,,,
"Sewing & Alterations,Fabric Stores,Appliances & Repair",5.0 star rating,harvey vintage,,,$$
Mobile Phones,4.5 star rating,verizon wireless premium,,,$$
"Day Spas,Gyms,Sports Wear",3.5 star rating,cannon village,,,$$$
Dive Bars,3.5 star rating,bomb shelter,,,$
"Toy Stores,Comic Books,Bookstores",4.0 star rating,kitty n frendz,,,$$
French,4.0 star rating,parfum de jour,,,$$$
Chinese,,i bar,,,
"Accessories,Men's Clothing",4.5 star rating,haberdashery,,,$$
"Fabric Stores,Knitting Supplies",4.0 star rating,loops a yarn store,,,$$$
Department Stores,3.5 star rating,victorias handbags,,,$$
Tours,5.0 star rating,car italy and tours,,,
Pizza,4.0 star rating,italia express pizza,,,$$
Sewing & Alterations,1.0 star rating,amici leather,,,
"Day Spas,Massage",3.0 star rating,s e ar physical therapy,,,$$
Sewing & Alterations,4.0 star rating,laurel custom tailor,,,
Hair Salons,,star beauty,,,
Cosmetics & Beauty Supply,4.5 star rating,fragrance appeal,,,$$
"Cards & Stationery,Home Decor,Gift Shops",5.0 star rating,jess boutique,,,$$
Nail Salons,3.0 star rating,professionails,,,$$
"Bowling,Music Venues,American (Traditional)",4.0 star rating,stoney river legendary steaks,,,$$
"Baby Gear & Furniture,Maternity Wear",4.5 star rating,dam store,,,$$
Health & Medical,5.0 star rating,emage,,,
"Lounges,Mediterranean,Hookah Bars",4.5 star rating,shadow,,,$$$
"Landmarks & Historical Buildings,Museums",4.5 star rating,hip hop foundation,,,
"Spanish,Latin American",3.5 star rating,beltway blossom shop,,,$$$
"Spanish,Latin American",3.5 star rating,estilo latino,,,$$$
Museums,4.5 star rating,coral springs city hall in the mall,,,
"Day Spas,Tanning,Massage",4.5 star rating,body mania,,,$$$
"Cafes,Meat Shops,Sandwiches",4.0 star rating,honeybaked ham cafe,,,$
American (New),4.0 star rating,china cafe usa,,,$$$
Beaches,4.0 star rating,the wharf adventure zone,,,
