new_id,old_id,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
42,238,Cross County Shopping Center,Bronx County,new york,36005,40.848711,-73.852939,1385108,511896,109028908,39838229,42.096,15.382,2.3,34.9,30.6,32.8,10.5,1.3,3.6,36.5,66.7,53.1,46.9,33.3,94.4,25.3,27.9,4.3,"girl's clothing:1,jewelry:1,clothing:9,children's clothing:1,plus size clothing:1,women's clothing:3,women's shoes:1,restaurant:2,telecommunication:1,women's jewelry:1,beauty products:2"
43,153,Carolina Mall,Cabarrus County,north carolina,37025,35.387845,-80.552868,178011,71937,936925455,7033038,361.749,2.715,2.5,37.7,35.6,36.7,11.3,0.4,2,15.3,73.2,51.2,48.8,26.8,91.3,4.9,75.4,12.1,"jewelry:2,clothing:10,shoes:1,men's clothing:1,women's clothing:3,beauty products:1,nutritional supplements:1,children's clothing:1,eyewear:2,hair care:2,restaurant:3,telecommunication:1,sporting goods:1,cookies:1"
44,155,Carousel Center,Onondaga County,new york,36067,43.00653,-76.196117,467026,202357,2016019983,70521368,778.39,27.228,1.4,39.9,37,38.6,14,0.8,3.1,11,61.4,51.9,48.1,38.6,92.7,1.2,81.1,6.4,"jewelry:4,clothing:20,ice cream:1,nutritional supplements:2,sports clothing:1,furniture:2,headwear:1,consumer electronics:2,beauty products:2,children's apparel:3,hair care:2,plus size clothing:1,personalized gifts:1,telecommunication:2,video games:1,footwear:3,girl's clothing:1,women's handbags:1,stuffed animals:1,clothing & shoes:1,shoes:3,makeup:1,sports apparel:1,women's clothing:9,maternity clothing:1,coffee:1,disney:1,photography:1,children's clothing:1,eyewear:3,men's gifts:1,restaurant:7,diamonds:1,children's footwear:1, beauty products:1,candles:1,perfume:1"
45,1356,West Oaks Mall Houston,Fort Bend County,texas,48157,29.526602,-95.771015,585375,197030,2231225129,61796736,861.481,23.86,1.8,35.8,33.9,35,7.3,0.4,17,21.5,82.1,50.9,49.1,17.9,95.1,7.6,50.6,7.1,"jewelry:1,clothing:1,women's jewelry:1,restaurant:1"
46,109,Brambleton Town Center,Cascade County,montana,30013,47.316443,-111.350571,81327,37276,6988196577,34515098,2698.158,13.326,1.6,40.6,37.2,38.9,15.6,4.3,0.8,1.2,63.3,50.1,49.9,36.7,90.7,0.6,89.2,6.1,"restaurant:2,telecommunication:1,ice cream:1"
47,355,Fingerlakes Mall,Cayuga County,new york,36011,43.008546,-76.574587,80026,36489,1791189978,445707605,691.582,172.089,1.6,43.1,40,41.5,15.3,0.4,0.5,4,64.4,49,51,35.6,86.2,0.8,92.5,6.8,"nutritional supplements:1,clothing:4,photography:1,jewelry:2,hair care:2,telecommunication:2,women's clothing:1,video games:1,beauty products:1"
48,92,Biltmore Park Town Square,Buncombe County,north carolina,37021,35.609371,-82.530426,238318,113365,1700772614,8984885,656.672,3.469,3,42.3,39.1,40.6,16,0.4,1,6.4,60.8,51.8,48.2,39.2,88.6,2.6,87.4,8.9,"restaurant:1,books and digital media:1,ice cream:1,eyewear:1"
49,522,Irving Mall,Dallas County,texas,48113,32.766987,-96.778424,2368139,943257,2256602704,96696353,871.279,37.335,2.3,33.4,31.6,32.5,8.8,0.7,5,22.3,65.4,50.6,49.4,34.6,90.7,15.5,53.5,11.9,"jewelry:5,clothing:8,shoes:1,men's clothing:1,women's clothing:1,sports apparel:1,eyewear:2,women's jewelry:1,headwear:1,consumer electronics:2,children's apparel:1,nutritional supplements:2,guest services:1,personalized gifts:1,restaurant:2,telecommunication:2,footwear:3"
50,1459,Wyoming Valley Mall,Luzerne County,pennsylvania,42079,41.172787,-75.976035,320918,148748,2305950580,41263613,890.333,15.932,2.4,44.3,40.8,42.5,17.9,0.2,1,3.4,63,51.1,48.9,37,88.7,3.3,90.7,8.4,"girl's clothing:1,jewelry:5,telecommunication:2,shoes:1,women's clothing:1,sports apparel:1,personalized gifts:1,women's jewelry:1,consumer electronics:1,beauty products:1,children's apparel:2,nutritional supplements:2,clothing:9,plus size clothing:1,sports clothing:1,women's shoes:1,restaurant:3,eyewear:1,maternity clothing:1,footwear:1"
51,241,Crossings at Corona,Orange County,california,6059,33.675687,-117.777207,3010232,1048907,2047561084,407916814,790.568,157.498,1.4,37.5,34.9,36.2,11.6,0.6,17.9,1.7,71.4,50.5,49.5,28.6,94.6,14.5,60.8,5.9,"girl's clothing:1,clothing:2,books and digital media:1,plus size clothing:1, clothing:1,women's clothing:1,consumer electronics:1,department store:1,coffee:1,chocolates:1,home furnishings:1,restaurant:4,telecommunication:2,ice cream:1,furniture:1,footwear:2"
