category,rate,name,address,url,price_range
"CPR Classes,First Aid Classes",4.5 star rating,st johns childrens hospital play area,,,
Sushi Bars,3.0 star rating,mijouri sushi restaurant,,,$$
"Chinese,Japanese,Sushi Bars",2.5 star rating,hunan express,,,$
"Hotels,Bed & Breakfast",5.0 star rating,kelci designs,,,$$$
,,career education,,,
"Arts & Crafts,Jewelry",4.0 star rating,super silver santa cruz,,,$
"Eyewear & Opticians,Accessories",4.0 star rating,optica i,,,$$$$
Electricians,5.0 star rating,energy excel,,,
Travel Services,4.0 star rating,going places travel,,,
Coffee & Tea,4.5 star rating,coco moka cafe,,,$
Diners,3.5 star rating,crest cafe,,,$$
Burgers,3.5 star rating,smokehouse,,,$
Toy Stores,4.0 star rating,kaleidoscope dolls,,,$$
"Carpeting,Flooring",4.5 star rating,contract carpet,,,
Jewelry,4.5 star rating,jewelry unlimited,,,$$
"Acupuncture,Massage",5.0 star rating,acupuncture clinic,,,$
"Watch Repair,Watches",4.5 star rating,watch place,,,$
"Steakhouses,Seafood",4.0 star rating,carnevale,,,$$$
"Men's Clothing,Women's Clothing,Accessories",3.5 star rating,lacoste,,,$$$
American (New),4.5 star rating,lets talk turkey,,,$$
"Photography Stores & Services,Photo Booth Rentals",4.5 star rating,pika pika,,,$$
Seafood,4.5 star rating,back porch seafood and oyster house,,,$$
Arts & Entertainment,4.5 star rating,queens nails,,,
"Video/Film Production,Photographers",5.0 star rating,digital photo factory,,,
Retirement Homes,2.5 star rating,silverado,,,
"Libraries,Tutoring Centers,Adult Education",4.0 star rating,cell connection,,,
Jewelry,,diamond jewelers,,,
"Pizza,Italian,Lounges",4.0 star rating,padrinos pizza,,,$$
"Computers,Mobile Phones,Data Recovery",4.5 star rating,accessory world two,,,$$
"Art Galleries,Venues & Event Spaces",3.5 star rating,da closet,,,$$
"Department Stores,Cosmetics & Beauty Supply",,jcpenney - sephora,,,$$$
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,sones delicatering,,,$
"Adult Education,Specialty Schools",4.5 star rating,personal training inst ,,,
"Steakhouses,American (Traditional)",3.5 star rating,mia testerossa,,,$$$
Photo Booth Rentals,,roxtar,,,
Nail Salons,5.0 star rating,glamorous,,,
"Eyewear & Opticians,Optometrists",3.5 star rating,browline,,,$$
Coffee & Tea,4.5 star rating,capital one,,,$
Sporting Goods,4.0 star rating,reebok ,,,$$
Bed & Breakfast,4.5 star rating,victorian lace,,,
"Women's Clothing,Men's Clothing",4.0 star rating,lucky brand ,,,$$$
,,discolandia,,,
"Bakeries,Cafes",4.0 star rating,callenders grille,,,$
Tours,4.5 star rating,great lakes bear factory of traverse city,,,
"Community Service/Non-Profit,Medical Centers",3.5 star rating,assist international,,,
Public Services & Government,5.0 star rating,marines recruiters,,,
Watch Repair,4.5 star rating,world time,,,
Couriers & Delivery Services,4.5 star rating,gold express,,,
Shoe Stores,3.5 star rating,shoe heaven,,,$$
"Gyms,Trainers,Weight Loss Centers",4.0 star rating,curves,,,
Chinese,3.0 star rating,fotune cookie restaurant,,,$
Shoe Stores,2.5 star rating,clarks bostonian,,,$$
"Mobile Phones,Electronics,Internet Service Providers",2.0 star rating,southland log homes,,,$$
Tattoo,5.0 star rating,airbrush magic,,,
"Art Galleries,Arts & Crafts,Home Decor",4.0 star rating,contemporary arts forum,,,$$
Contractors,1.5 star rating,bath fitter,,,
"Asian Fusion,Singaporean",3.0 star rating,straits restaurant,,,$$
Tutoring Centers,2.5 star rating,the princeton review,,,
Mexican,2.5 star rating,ninfas express,,,$$
Sports Wear,4.5 star rating,lids locker room,,,$$$
Shopping,3.0 star rating,big lots,,,$
"Chinese,Japanese",3.0 star rating,bamboo gardens,,,$
"Women's Clothing,Shoe Stores,Men's Clothing",3.5 star rating,shaws jewelers,,,$$$$
"Eyewear & Opticians,Accessories",4.5 star rating,indian arts emporium,,,$$
Hair Salons,4.5 star rating,alan murphy salon,,,$$
American (Traditional),4.0 star rating,final round,,,$$$
Home Organization,5.0 star rating,linensn more,,,
"Stadiums & Arenas,Venues & Event Spaces",4.0 star rating,jobing com arena,,,
