store_name,store_new_id
baja fresh,1115
bow tie cinemas,1116
bubbles,1117
capital one bank,1118
cloud 9 clothing,1119
diva boutique,1120
enchanted art,1121
hair cuttery,1122
jennifer convertibles,1123
lebanese taverna,1124
melissas hallmark,1125
millwood furniture,1126
nail touch,1127
pa dutch farmers market,1128
potbelly,1129
robeks,1130
sole comfort shoes,1131
south moon under,1132
stillridge herb farm,1133
tgi fridays,1134
the fresh market,1135
the healthy back store,1136
about faces day spa,1137
arhaus furniture,1138
as kindred spirits,1139
atc cleaners,1140
bank of annapolis,1141
bin 201,1142
brio tuscan grille,1143
cadillac ranch,1144
desi living innovations,1145
eastern mountain sports,1146
go wireless,1147
great gatherings,1148
charm city run,1149
chop house,1150
lucy activewear,1151
lululemon,1152
menchies frozen yogurt,1153
metro silver diner,1154
my eye dr,1155
office lobby,1156
paladar,1157
paper source,1158
philly flash,1159
pnc bank,1160
poppystella,1161
real seafood,1162
reveal medspa,1163
smyth,1164
sur la table,1165
urban chic,1166
ziki japanese steakhouse,1167
a crepe place to eat,1168
all pro sports,1169
antelope mall vision ctr,1170
art plus gallery,1171
bon bon,1172
buckle it,1173
cacique,1174
cellaxs,1175
century 21,1176
claim jumpers,1177
dairy queen,1178
daniels jewelry,1179
dianes hallmark,1180
dollar land,1181
elegant jewelry,1182
european watch repair,1183
extensions performing art,1184
fredericks of hollywood,1185
great steak,1186
greenhouse cafe,1187
hellers general store,1188
hilands gifttobacco,1189
chinese gourmet express,1190
invisible shield,1191
kevin jewelry,1192
kiddie kandids,1193
la perk,1194
luxury perfume,1195
mediterranean delight,1196
mirage for men,1197
no fear,1198
oak west,1199
oishii japan,1200
pagoda,1201
pias auto accessories,1202
pretzel time,1203
queens nails,1204
stik r place,1205
surf city squeeze,1206
torrid,1207
treasure island,1208
wetzels pretzel,1209
yard house,1210
zizibeh,1211
aw allamerican food,1212
air traffic kitesgames,1213
associated bank,1214
boston shoe repair,1215
caribou coffee,1216
cashmere accessories cart,1217
cellairis cart,1218
city looks salonspa,1219
cost cutters,1220
cut above home,1221
evenson hallmark,1222
express mens,1223
fashion bags,1224
gabriella hl tailor,1225
goldys locker room,1226
goodman jewelry,1227
herbergers,1228
hollywood nails,1229
mongolian grill,1230
karmelkorn,1231
love from minnesota,1232
manchu wok,1233
murano glass,1234
pillow pals cart,1235
prior avenue,1236
proex photo,1237
relaxing massage,1238
one hour photo,1239
sarku japan,1240
miracle ear,1241
solar x sunglasses cart,1242
tradehome shoes,1243
vanity,1244
vision world,1245
wacky bear,1246
nextel,1247
c jbanks,1248
cell world cart,1249
cellairis,1250
country treasures,1251
europe nails,1252
game stop i,1253
gold rush cart,1254
golden links,1255
health plan massage,1256
ibrow designer cart,1257
kabob house,1258
lee customtailor,1259
mid atlantic protel,1260
one stop wireless,1261
perfect nails,1262
quick jewelry repair,1263
roman delight,1264
shaws jewelry,1265
shenktittle,1266
skyline sports,1267
sunny shades cart,1268
the shoe department,1269
toy riffic,1270
t shirt zone,1271
4 tip to toe,1272
5 7 9,1273
air force recruitment office,1274
army recruit,1275
atlanta jewel,1276
avenues news,1277
bagsthings,1278
bladez barbershop,1279
body central,1280
college station,1281
communitysouthern bank,1282
diamond traders,1283
diamonds forever,1284
discount tire,1285
doctors vision works,1286
dtlr,1287
earthbound trading,1288
fitness depot,1289
freshens yogurt,1290
friedman marketing,1291
glamour shots,1292
great wraps,1293
chastian hair salonday spa,1294
jewelry touch,1295
johnny rockets,1296
katos cajun,1297
king buffet,1298
la z boy galleries,1299
logans roadhouse,1300
marines,1301
market deli,1302
marksmorgan,1303
maximum one realty,1304
michaels artscrafts,1305
navy,1306
niche boutique,1307
ny clothing,1308
perfume paradise,1309
pretzel maker,1310
refresh,1311
regal cinema,1312
rooms to go,1313
shoe carnival,1314
simply fashion,1315
slimberry,1316
sports addiction,1317
the pet company,1318
the sports stop,1319
white barn candle,1320
three dollar cafe,1321
toninails,1322
touchtel wireless,1323
traffic shoes,1324
allstate insurance services inc,1325
aziz salon and day spa,1326
blue baker,1327
c kirk root designs,1328
conolio oilsvinegars,1329
edward jones,1330
estancia churrascaria,1331
heroeslegacies,1332
cheesecake factory,1333
orvis,1334
renaissance hotel,1335
savory spice shop,1336
texas tech regionaladmissions center,1337
z gallerie,1338
zoes kitchen,1339
360 gourmet world grill,1340
akay jewelersry,1341
anchor blue,1342
arden b,1343
auto trends,1344
bamboo works chair massage,1345
beauty by thread,1346
briar patch smoke shop,1347
calendar club,1348
candy castle,1349
carls jr,1350
carousel,1351
cathy jean,1352
ccs,1353
citiwear,1354
creative touch,1355
creative touch beauty,1356
cutegirl com,1357
desire jewelry,1358
devons jewelry,1359
eminent,1360
eye designs optometry,1361
forever beauty,1362
fragranza,1363
gift card balance reader,1364
go game,1365
hibachi san,1366
hope accessories,1367
chapel hats,1368
icing,1369
jessica mcclintock,1370
metro pcs,1371
orindas originals,1372
pro team sports,1373
quiksilver,1374
reflection shoes,1375
rollerz,1376
ruby thai,1377
scratch proof jackets,1378
seacret,1379
shoe palace,1380
sittra,1381
slim 30,1382
solstice sunglass,1383
sports fever,1384
steak escape,1385
sunglass express,1386
the raider image,1387
totally toys,1388
t shirts plus,1389
xtreme energy,1390
1130 the restaurant,1391
arizona beach company,1392
arizona center quick mart,1393
az wirelesssatellite,1394
brick,1395
cafe roma,1396
culture fresh,1397
flag world,1398
hassayampa trading post,1399
jaynes marketplace,1400
mi amigos mexican grill,1401
my big fat greek,1402
oak creek,1403
sams cafe,1404
sports world,1405
the lobby shop,1406
2b bebe,1407
alex optical,1408
all flags and sports,1409
americas taco,1410
amuse,1411
animalkingdom,1412
arena sports bargrill,1413
arizona territory,1414
black market minerals,1415
bostonian clarks,1416
california girlz,1417
capri jewelry,1418
catwalk,1419
cc market research,1420
corningware corellemore,1421
dippin,1422
el pollo,1423
eyebrow design,1424
fashion nail,1425
franks barber shop,1426
gameworks,1427
garcias,1428
group usa,1429
haggar clothing,1430
harkins luxury 25 cinemas,1431
harkins movie phone,1432
harkins theater,1433
hat club,1434
heroes,1435
holiday inn,1436
hurley,1437
izod,1438
kenneth cole,1439
k momo,1440
lovesac,1441
mylyns fashion,1442
nike,1443
oakley vault,1444
off broadway,1445
oshkosh,1446
p s from aeropostale,1447
papaya,1448
perfume collection,1449
perry ellis,1450
ragz,1451
rainforest cafe,1452
raspados paradise mexican restaurants,1453
reebok,1454
robert wayne,1455
rockport,1456
saks fifth avenue,1457
samsonite,1458
sea life arizona,1459
shoeteria,1460
sparkle,1461
sprockets,1462
suki hana,1463
suns up,1464
sweets from heaven,1465
tommy hilfiger,1466
top of the line,1467
tropik sun,1468
ultra diamond,1469
uniform destination,1470
van heusen factory,1471
wave,1472
wilsons leather,1473
windsor,1474
xi clothing,1475
yoyo yogurt,1476
a zamora ddssmiles,1477
accents,1478
andersons furniture,1479
arlington h exec suites,1480
bjs,1481
blackfinn american saloon,1482
bone daddys,1483
boudreauxs,1484
busy body,1485
citifinancial,1486
compass trading company,1487
conns,1488
davebusters,1489
dojo danketsu martialarts,1490
edible arrangements,1491
ethan allen,1492
farmers jess rogers agnt,1493
fish city grill,1494
freebirds world burrito,1495
genghis grill,1496
glorias,1497
haltoms jewelry,1498
happy smiles dentistry,1499
hardin computers,1500
hoffbrau steaks,1501
chuys,1502
improv comedy club,1503
india grill,1504
italian market restaurant,1505
kelley athletic company,1506
kidcore toys,1507
kidspark,1508
kincaids,1509
knockouts haircuts 4 men,1510
lasik plus,1511
luxury of leather,1512
medifast weight loss ctr,1513
medi weight loss,1514
melting pot restaurant,1515
moda salonspa,1516
piano gallery,1517
piranha killer sushi,1518
pluckers wing bar,1519
rally house texas,1520
robbins bro,1521
sleep experts,1522
splitsville,1523
studio movie grill,1524
studio orthodontics,1525
texas am university,1526
the keg steakhousebar,1527
the little gym,1528
tobacco lane,1529
university of phoenix,1530
which wich,1531
world market,1532
zizi pedispanails,1533
ageless medical spa,1534
blimpie subssalads,1535
bon ton,1536
braidsstyles by lisa,1537
cellular accessories,1538
coldwell banker realty,1539
community job center,1540
dakota watch,1541
earth woodstone,1542
elmira savings bank,1543
encore tanning salon,1544
five rivers scout shop,1545
friendlys,1546
gertrude hawk,1547
glamourglow,1548
granite art,1549
hersheys ice cream,1550
hl stephens,1551
hollys hounds,1552
chemung hall fame museam,1553
intensity cheer elite,1554
intis path,1555
kitchen collections,1556
liberty travel,1557
life uniform,1558
littman jewelry,1559
mall barber shop,1560
modern nail,1561
nail trix,1562
natural beauty,1563
new orient,1564
olympia sports,1565
picnic pizza,1566
robert sides fam musical,1567
ruby tuesday,1568
senior art gallery,1569
shoe doctor,1570
silkys play place,1571
snackn more,1572
styles sunglasses,1573
tasty bites,1574
taza,1575
the gold deposit,1576
the christmas house,1577
ticket counter,1578
time out,1579
tinas hallmark,1580
t shirt studio,1581
united detailauto access,1582
united detail express,1583
wireless city,1584
yesterdays,1585
alley gally,1586
a 1,1587
bancfirst,1588
beaded bliss,1589
bee beautiful,1590
bills bbq,1591
candy craze,1592
coach house gifts,1593
daily grind,1594
dollar tree,1595
dynasty express,1596
eye mart express,1597
fashion metals,1598
gameday,1599
gold plaza,1600
golden phoenix massage,1601
halloween boutique,1602
italian eatery,1603
juice express,1604
las fuentes,1605
mikes fish,1606
myers grill,1607
office depot,1608
optometrist,1609
redskye wireless,1610
riddles,1611
ruths christian books,1612
snip n clip,1613
starlight golf,1614
talk in style,1615
the buckle,1616
altered states,1617
arizona diamond center,1618
arizona national guard recruiting center,1619
arrowhead barber shop,1620
