De Witt County,illinois,41.7
DeKalb County,illinois,29.3
Douglas County,illinois,38.7
DuPage County,illinois,38.2
Edgar County,illinois,43.2
Edwards County,illinois,42.7
Effingham County,illinois,39.2
Fayette County,illinois,39.9
Ford County,illinois,42.4
Franklin County,illinois,41.8
Fulton County,illinois,41.9
Gallatin County,illinois,44.4
Greene County,illinois,41.6
Grundy County,illinois,36.1
Hamilton County,illinois,43.1
Hancock County,illinois,44.6
Hardin County,illinois,46.3
Henderson County,illinois,47.2
Henry County,illinois,41.8
Iroquois County,illinois,43.4
Jackson County,illinois,29.1
Jasper County,illinois,42.7
Jefferson County,illinois,40.6
Jersey County,illinois,40.5
Jo Daviess County,illinois,47.1
Johnson County,illinois,42.2
Kane County,illinois,34.5
Kankakee County,illinois,36.7
Kendall County,illinois,32.9
Knox County,illinois,42
LaSalle County,illinois,41
Lake County,illinois,36.7
Lawrence County,illinois,39.7
Lee County,illinois,42
Livingston County,illinois,40.8
Logan County,illinois,39.4
Macon County,illinois,40.3
Macoupin County,illinois,41.7
Madison County,illinois,38.6
Marion County,illinois,41.4
Marshall County,illinois,44.8
Mason County,illinois,44
Massac County,illinois,42.1
McDonough County,illinois,28.9
McHenry County,illinois,38
McLean County,illinois,32.1
Menard County,illinois,42.6
Mercer County,illinois,43.7
Monroe County,illinois,41
Montgomery County,illinois,41.9
Morgan County,illinois,40.8
Moultrie County,illinois,40.3
Ogle County,illinois,40.7
Peoria County,illinois,36.8
Perry County,illinois,39.4
Piatt County,illinois,42.6
Pike County,illinois,42.5
Pope County,illinois,46.6
Pulaski County,illinois,43.2
Putnam County,illinois,45.2
Randolph County,illinois,41
Richland County,illinois,42.1
Rock Island County,illinois,40
Saline County,illinois,41.7
Sangamon County,illinois,39.2
Schuyler County,illinois,43.6
Scott County,illinois,42.7
Shelby County,illinois,43.5
St. Clair County,illinois,36.9
Stark County,illinois,43.8
Stephenson County,illinois,43.1
Tazewell County,illinois,39.8
Union County,illinois,42.9
Vermilion County,illinois,39.8
Wabash County,illinois,42
Warren County,illinois,39.6
Washington County,illinois,42.3
Wayne County,illinois,42.9
White County,illinois,45.2
Whiteside County,illinois,41.8
Will County,illinois,35.4
Williamson County,illinois,40.1
Winnebago County,illinois,38.3
Woodford County,illinois,39.6
Adams County,indiana,34
Allen County,indiana,35.3
Bartholomew County,indiana,38.2
Benton County,indiana,40.1
Blackford County,indiana,42.4
Boone County,indiana,38.6
Brown County,indiana,46.7
Carroll County,indiana,40.9
Cass County,indiana,38.7
Clark County,indiana,37.9
Clay County,indiana,39.9
Clinton County,indiana,37.5
Crawford County,indiana,41.8
Daviess County,indiana,35.4
DeKalb County,indiana,38.1
Dearborn County,indiana,40
Decatur County,indiana,38.7
Delaware County,indiana,34.8
Dubois County,indiana,39.9
Elkhart County,indiana,34.9
Fayette County,indiana,40.8
Floyd County,indiana,39.1
Fountain County,indiana,41.6
Franklin County,indiana,40
Fulton County,indiana,40.3
Gibson County,indiana,39.9
Grant County,indiana,39.5
Greene County,indiana,41.1
Hamilton County,indiana,35.6
Hancock County,indiana,39.1
Harrison County,indiana,40.2
Hendricks County,indiana,36.7
Henry County,indiana,41.4
Howard County,indiana,40.7
Huntington County,indiana,39
Jackson County,indiana,38.7
Jasper County,indiana,38
Jay County,indiana,39
Jefferson County,indiana,39.7
Jennings County,indiana,38.4
Johnson County,indiana,36.8
Knox County,indiana,38.5
Kosciusko County,indiana,37.7
LaGrange County,indiana,30.4
LaPorte County,indiana,39.6
Lake County,indiana,37.4
Lawrence County,indiana,41.6
Madison County,indiana,39.2
Marion County,indiana,33.9
Marshall County,indiana,38.4
Martin County,indiana,41.8
Miami County,indiana,39.5
Monroe County,indiana,27.7
Montgomery County,indiana,39.4
Morgan County,indiana,39.9
Newton County,indiana,42.4
Noble County,indiana,37.1
Ohio County,indiana,43.7
Orange County,indiana,40.8
Owen County,indiana,42.4
Parke County,indiana,41.3
Perry County,indiana,40.4
Pike County,indiana,42.8
Porter County,indiana,38.4
Posey County,indiana,41.6
Pulaski County,indiana,41.7
Putnam County,indiana,37.9
Randolph County,indiana,40.8
Ripley County,indiana,39.2
Rush County,indiana,40.6
Scott County,indiana,39.3
Shelby County,indiana,39.9
Spencer County,indiana,41.9
St. Joseph County,indiana,36.2
Starke County,indiana,40.4
Steuben County,indiana,40.2
Sullivan County,indiana,39.8
Switzerland County,indiana,39.1
Tippecanoe County,indiana,27.7
Tipton County,indiana,42.6
Union County,indiana,40.3
Vanderburgh County,indiana,37.5
Vermillion County,indiana,41.9
Vigo County,indiana,36.1
Wabash County,indiana,41.2
Warren County,indiana,42.4
Warrick County,indiana,39.7
Washington County,indiana,39.2
Wayne County,indiana,40.2
Wells County,indiana,40.2
White County,indiana,41.9
Whitley County,indiana,40.1
Adair County,iowa,45.3
Adams County,iowa,46.7
Allamakee County,iowa,44
Appanoose County,iowa,44.2
Audubon County,iowa,47
Benton County,iowa,40.9
Black Hawk County,iowa,34.4
Boone County,iowa,40.8
Bremer County,iowa,39.3
Buchanan County,iowa,39
Buena Vista County,iowa,37.1
Butler County,iowa,43.8
Calhoun County,iowa,47.8
Carroll County,iowa,42.3
Cass County,iowa,45.1
Cedar County,iowa,42.4
Cerro Gordo County,iowa,43.3
Cherokee County,iowa,47
Chickasaw County,iowa,43.7
Clarke County,iowa,40.2
Clay County,iowa,42.5
Clayton County,iowa,45
Clinton County,iowa,41.4
Crawford County,iowa,38.4
Dallas County,iowa,34.3
Davis County,iowa,38.6
Decatur County,iowa,38.2
Delaware County,iowa,42.1
Des Moines County,iowa,41.5
Dickinson County,iowa,48.1
Dubuque County,iowa,38.6
Emmet County,iowa,41
Fayette County,iowa,43.2
Floyd County,iowa,43.3
Franklin County,iowa,42.8
Fremont County,iowa,45.1
Greene County,iowa,45.6
Grundy County,iowa,43
Guthrie County,iowa,44.8
Hamilton County,iowa,42.3
Hancock County,iowa,44.8
Hardin County,iowa,43.7
Harrison County,iowa,42.9
Henry County,iowa,40.2
Howard County,iowa,42.1
Humboldt County,iowa,44.3
Ida County,iowa,44.8
Iowa County,iowa,42.4
Jackson County,iowa,44
Jasper County,iowa,41.6
Jefferson County,iowa,43.5
Johnson County,iowa,29.3
Jones County,iowa,42.7
Keokuk County,iowa,43.8
Kossuth County,iowa,46.6
Lee County,iowa,42.6
Linn County,iowa,36.5
Louisa County,iowa,39.8
Lucas County,iowa,44.1
Lyon County,iowa,38.7
Madison County,iowa,39.8
Mahaska County,iowa,38.9
Marion County,iowa,38.6
Marshall County,iowa,39.6
Mills County,iowa,41.2
Mitchell County,iowa,44
Monona County,iowa,47.5
Monroe County,iowa,42.1
Montgomery County,iowa,44.6
Muscatine County,iowa,38.2
O'Brien County,iowa,43.6
Osceola County,iowa,43.5
Page County,iowa,43.7
Palo Alto County,iowa,43.9
Plymouth County,iowa,41.2
Pocahontas County,iowa,47.6
Polk County,iowa,34.7
Pottawattamie County,iowa,38.5
Poweshiek County,iowa,41
Ringgold County,iowa,45.6
Sac County,iowa,46.6
Scott County,iowa,37.7
Shelby County,iowa,45.4
Sioux County,iowa,32.7
Story County,iowa,26.7
Tama County,iowa,41.8
Taylor County,iowa,44.6
Union County,iowa,40.9
Van Buren County,iowa,43.3
Wapello County,iowa,39.8
Warren County,iowa,38.3
Washington County,iowa,41.6
Wayne County,iowa,45.3
Webster County,iowa,40
Winnebago County,iowa,43.5
Winneshiek County,iowa,39.4
Woodbury County,iowa,35.1
Worth County,iowa,43.8
Wright County,iowa,44.4
Allen County,kansas,40.8
Anderson County,kansas,42.1
Atchison County,kansas,36.3
Barber County,kansas,45.8
Barton County,kansas,39.7
Bourbon County,kansas,38.2
Brown County,kansas,41.9
Butler County,kansas,37.2
Chase County,kansas,45.6
Chautauqua County,kansas,48.2
Cherokee County,kansas,40.5
Cheyenne County,kansas,50
Clark County,kansas,44.9
Clay County,kansas,43.3
Cloud County,kansas,42.2
Coffey County,kansas,43
Comanche County,kansas,47.4
Cowley County,kansas,38.5
Crawford County,kansas,32.6
Decatur County,kansas,51.4
Dickinson County,kansas,41.4
Doniphan County,kansas,39.6
Douglas County,kansas,28.4
Edwards County,kansas,44.8
Elk County,kansas,48.8
Ellis County,kansas,32.2
Ellsworth County,kansas,44.3
Finney County,kansas,30.2
Ford County,kansas,30.4
Franklin County,kansas,38.1
Geary County,kansas,27.7
Gove County,kansas,48.3
Graham County,kansas,49.4
Grant County,kansas,32.8
Gray County,kansas,34.7
Greeley County,kansas,46.6
Greenwood County,kansas,46.7
Hamilton County,kansas,33.5
Harper County,kansas,44.1
Harvey County,kansas,38.9
Haskell County,kansas,34.3
Hodgeman County,kansas,46.1
Jackson County,kansas,40.7
Jefferson County,kansas,42.6
Jewell County,kansas,52.5
Johnson County,kansas,36.4
Kearny County,kansas,35.5
Kingman County,kansas,44.5
Kiowa County,kansas,41.9
Labette County,kansas,40.5
Lane County,kansas,46.1
Leavenworth County,kansas,37.4
Lincoln County,kansas,46.4
Linn County,kansas,44.8
Logan County,kansas,44.9
Lyon County,kansas,32.5
Marion County,kansas,44.6
Marshall County,kansas,45.2
McPherson County,kansas,41.4
Meade County,kansas,38.8
Miami County,kansas,39.5
Mitchell County,kansas,45.6
Montgomery County,kansas,39.9
Morris County,kansas,47.2
Morton County,kansas,38.9
Nemaha County,kansas,42.5
Neosho County,kansas,40.2
Ness County,kansas,48.2
Norton County,kansas,43.5
Osage County,kansas,42.8
Osborne County,kansas,48.2
Ottawa County,kansas,42.7
Pawnee County,kansas,43.2
Phillips County,kansas,45.3
Pottawatomie County,kansas,34.8
Pratt County,kansas,40.9
Rawlins County,kansas,51.3
Reno County,kansas,39.9
Republic County,kansas,50.6
Rice County,kansas,39.3
Riley County,kansas,24.3
Rooks County,kansas,44.1
Rush County,kansas,48.7
Russell County,kansas,46.5
Saline County,kansas,37.8
Scott County,kansas,41.4
Sedgwick County,kansas,34.2
Seward County,kansas,28.9
Shawnee County,kansas,38.1
Sheridan County,kansas,46.9
Sherman County,kansas,42.1
Smith County,kansas,49.6
Stafford County,kansas,45.6
Stanton County,kansas,35.6
Stevens County,kansas,34.4
Sumner County,kansas,40.5
Thomas County,kansas,36.6
Trego County,kansas,49.3
Wabaunsee County,kansas,42.6
Wallace County,kansas,45.4
Washington County,kansas,46.4
Wichita County,kansas,40.3
Wilson County,kansas,43.1
Woodson County,kansas,48.2
Wyandotte County,kansas,32.8
Adair County,kentucky,39
Allen County,kentucky,39.2
Anderson County,kentucky,38.4
Ballard County,kentucky,42.4
Barren County,kentucky,39.7
Bath County,kentucky,39.9
Bell County,kentucky,41
Boone County,kentucky,35.7
Bourbon County,kentucky,40.7
Boyd County,kentucky,41.8
Boyle County,kentucky,40.6
Bracken County,kentucky,39.2
Breathitt County,kentucky,40
Breckinridge County,kentucky,41.6
Bullitt County,kentucky,38.2
Butler County,kentucky,40.1
Caldwell County,kentucky,42.6
Calloway County,kentucky,34
Campbell County,kentucky,37
Carlisle County,kentucky,42.9
Carroll County,kentucky,37.6
Carter County,kentucky,39.3
Casey County,kentucky,40.6
Christian County,kentucky,28.9
Clark County,kentucky,39.8
Clay County,kentucky,37.7
Clinton County,kentucky,41.6
Crittenden County,kentucky,42.6
Cumberland County,kentucky,43.8
Daviess County,kentucky,38.8
Edmonson County,kentucky,41.3
Elliott County,kentucky,39.9
Estill County,kentucky,41.3
Fayette County,kentucky,33.7
Fleming County,kentucky,40.1
Floyd County,kentucky,39.9
Franklin County,kentucky,39.8
Fulton County,kentucky,42.8
Gallatin County,kentucky,37.4
Garrard County,kentucky,41.2
Grant County,kentucky,35.3
Graves County,kentucky,39.8
Grayson County,kentucky,39.7
Green County,kentucky,42.6
Greenup County,kentucky,42
Hancock County,kentucky,39.5
Hardin County,kentucky,35
Harlan County,kentucky,40.5
Harrison County,kentucky,40.7
Hart County,kentucky,40.1
Henderson County,kentucky,39.8
Henry County,kentucky,40.6
Hickman County,kentucky,44.8
Hopkins County,kentucky,40.4
Jackson County,kentucky,39.5
Jefferson County,kentucky,37.9
Jessamine County,kentucky,35.8
